"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 14, 2014","Abilene Christian",101,"Hillsdale",61
"2","November 14, 2014","Akron",74,"UMBC",57
"3","November 14, 2014","Alabama",82,"Towson",54
"4","November 14, 2014","Alabama State",105,"Auburn Montgomery",64
"5","November 14, 2014","Arizona",78,"Mount St. Mary's",55
"6","November 14, 2014","Arizona State",86,"Chicago State",50
"7","November 14, 2014","Army",84,"Air Force",78
"8","November 14, 2014","Auburn",83,"Milwaukee",73
"9","November 14, 2014","Baylor",80,"McNeese State",39
"10","November 14, 2014","Boise State",81,"San Diego",75
"11","November 14, 2014","Boston College",58,"New Hampshire",50
"12","November 14, 2014","Bradley",75,"Texas-Arlington",86
"13","November 14, 2014","BYU",95,"Long Beach State",90
"14","November 14, 2014","Brown",70,"St. Peter's",58
"15","November 14, 2014","Bucknell",75,"Marist",72
"16","November 14, 2014","Buffalo",69,"South Dakota State",67
"17","November 14, 2014","Cal State Bakersfield",99,"High Point",100
"18","November 14, 2014","California",91,"Alcorn State",57
"19","November 14, 2014","UC-Irvine",87,"Chapman",36
"20","November 14, 2014","Campbell",97,"Barber-Scotia",58
"21","November 14, 2014","Central Connecticut",63,"Fairfield",71
"22","November 14, 2014","Central Michigan",106,"Alma",64
"23","November 14, 2014","Chattanooga",110,"Hiwassee",53
"24","November 14, 2014","Cincinnati",52,"Saint Francis (PA)",37
"25","November 14, 2014","Citadel",65,"VMI",66
"26","November 14, 2014","Clemson",86,"Florida A&M",41
"27","November 14, 2014","Coastal Carolina",79,"Trinity Baptist",36
"28","November 14, 2014","Colorado",65,"Drexel",48
"29","November 14, 2014","UConn",66,"Bryant",53
"30","November 14, 2014","Creighton",104,"Central Arkansas",77
"31","November 14, 2014","Dayton",76,"Alabama A&M",52
"32","November 14, 2014","DePaul",72,"UIC",71
"33","November 14, 2014","Detroit",77,"Rochester (MI)",54
"34","November 14, 2014","Duke",113,"Presbyterian",44
"35","November 14, 2014","East Carolina",99,"North Carolina Wesleyan",81
"36","November 14, 2014","Eastern Kentucky",76,"Savannah State",53
"37","November 14, 2014","Eastern Michigan",64,"St. Francis (IL)",52
"38","November 14, 2014","Eastern Washington",86,"Texas Southern",62
"39","November 14, 2014","Elon",64,"Florida Atlantic",58
"40","November 14, 2014","Florida",68,"William & Mary",45
"41","November 14, 2014","Florida International",64,"Florida College",42
"42","November 14, 2014","Fordham",94,"NYIT",77
"43","November 14, 2014","Furman",40,"College of Charleston",75
"44","November 14, 2014","George Mason",60,"Cornell",68
"45","November 14, 2014","George Washington",92,"Grambling",40
"46","November 14, 2014","Georgia State",115,"Tennessee Temple",55
"47","November 14, 2014","Georgia Tech",80,"Georgia",73
"48","November 14, 2014","Gonzaga",104,"Sacramento State",58
"49","November 14, 2014","Hartford",53,"Sacred Heart",71
"50","November 14, 2014","Harvard",73,"MIT",52
"51","November 14, 2014","Hawaii",85,"Arkansas-Pine Bluff",57
"52","November 14, 2014","Hofstra",94,"Jacksonville",61
"53","November 14, 2014","Idaho",77,"Eastern Oregon",65
"54","November 14, 2014","Illinois",80,"Georgia Southern",71
"55","November 14, 2014","Incarnate Word",89,"Texas-Tyler",49
"56","November 14, 2014","Indiana",116,"Mississippi Valley State",65
"57","November 14, 2014","Iona",78,"Cleveland State",73
"58","November 14, 2014","Iowa",90,"Hampton",56
"59","November 14, 2014","Iowa State",93,"Oakland",82
"60","November 14, 2014","Fort Wayne",74,"Manchester",50
