"","AwayTeamName","HomeTeamName","Line","ProfitLine","Date"
"1","-",NA,NA,24,2011-01-25
"2","-",NA,NA,62,2011-02-16
"3","-. -",NA,NA,NA,2010-12-07
"4","-. -",NA,NA,NA,2011-02-04
"5","-. +",NA,NA,NA,2011-01-25
"6",". -",NA,NA,4,2010-12-07
"7",". -",NA,NA,67,2011-01-18
"8",". -",NA,NA,0,2011-01-20
"9",". -",NA,NA,25,2011-01-25
"10",". -",NA,NA,23,2011-02-04
"11",". +",NA,NA,3,2011-01-18
"12",". Bundesliga Hockey",NA,NA,3,2010-12-07
"13",". Division Women Handball",NA,NA,12,2011-02-16
"14",":AM",NA,NA,NA,2010-12-07
"15",":AM",NA,NA,NA,2011-01-18
"16",":AM",NA,NA,NA,2011-02-24
"17",":AM",NA,-344,NA,2011-02-25
"18",":AM",NA,-240,NA,2012-03-02
"19",":AM",NA,-500,NA,2015-02-15
"20",":AM",NA,-240,NA,2015-02-21
"21",":PM",NA,NA,NA,2011-01-18
"22",":PM",NA,NA,NA,2011-01-20
"23",":PM",NA,NA,NA,2011-01-25
"24",":PM",NA,NA,NA,2011-02-04
"25",":PM",NA,NA,NA,2011-02-16
"26",":PM",NA,NA,NA,2011-02-18
"27",":PM",NA,NA,NA,2011-02-23
"28",":PM",NA,NA,NA,2011-02-25
"29",":PM",NA,320,NA,2012-11-09
"30",":PM",NA,-400,NA,2013-01-30
"31",":PM",NA,-330,NA,2013-02-11
"32",":PM",NA,-380,NA,2013-03-07
"33",":PM",NA,-175,NA,2014-01-02
"34",":PM",NA,-295,NA,2014-01-29
"35",":PM",NA,-700,NA,2014-02-03
"36",":PM",NA,-780,NA,2014-02-12
"37",":PM",NA,-190,NA,2014-02-13
"38",":PM",NA,115,NA,2014-02-18
"39",":PM",NA,240,NA,2014-12-05
"40",":PM",NA,-2200,NA,2014-12-07
"41",":PM",NA,102,NA,2015-02-02
"42",":PM",NA,355,NA,2015-02-17
"43",":PM",NA,-155,NA,2015-02-24
"44","+",NA,4.5,-222,2010-12-07
"45","+",NA,NA,NA,2011-02-24
"46","+. -",NA,NA,NA,2010-12-07
"47","A Hockey",NA,NA,1,2011-01-20
"48","Abilene Christian","Air Force",-6,-120,2017-12-06
"49","Abilene Christian","Drake",-8.5,-110,2018-03-12
"50","Abilene Christian","Lipscomb",-12,-120,2017-12-17
"51","Abilene Christian","Sam Houston State",-8.5,-120,2016-01-25
"52","Abilene Christian","Sam Houston State",-9.5,-120,2017-02-25
"53","Abilene Christian","Sam Houston State",-6.5,-120,2018-02-03
"54","Abilene Christian","San Francisco",-14.5,-120,2016-12-19
"55","Abilene Christian","Stephen F. Austin",-12,-120,2018-02-28
"56","Abilene Christian","Texas A&M-CC",-17,-120,2016-02-23
"57","Abilene Christian","Texas Tech",-25.5,-120,2017-12-22
"58","Abilene Christian","Towson",-23,-105,2013-11-30
"59","Abilene Christian","West Alabama",-3,-110,2013-11-29
"60","Abilene Christian","Xavier",-33,-120,2013-11-25
"61","Adams State","Hawaii",-25.5,-120,2017-11-27
"62","Air Force","Army",7,-103,2012-11-10
"63","Air Force","Army",-3.5,-109,2013-11-08
"64","Air Force","Army",-5,-107,2014-11-14
"65","Air Force","Army",-1.5,-120,2016-12-07
"66","Air Force","Army",-6,-120,2017-12-17
"67","Air Force","Boise State",-11,-105,2012-01-14
"68","Air Force","Boise State",-7,-105,2013-02-20
"69","Air Force","Boise State",-9.5,-101,2015-02-11
"70","Air Force","Boise State",-11,-108,2015-03-12
"71","Air Force","Boise State",-10.5,-103,2017-02-11
"72","Air Force","Boise State",-14,-102,2018-02-17
"73","Air Force","BYU",-21,102,2011-01-08
"74","Air Force","Cal Riverside",6.5,-103,2012-12-22
"75","Air Force","Cal Riverside",4,-105,2017-12-08
"76","Air Force","Colorado",-10,-109,2012-11-25
"77","Air Force","Colorado",-15,-102,2014-11-25
"78","Air Force","Colorado",-15,-110,2015-11-25
"79","Air Force","Colorado",-12,-107,2017-11-26
"80","Air Force","Colorado State",-10,-101,2011-01-26
"81","Air Force","Colorado State",-8.5,-102,2012-02-04
"82","Air Force","Colorado State",-10.5,-103,2013-01-16
"83","Air Force","Colorado State",-9.5,-109,2014-01-18
"84","Air Force","Colorado State",-12.5,-101,2015-02-21
"85","Air Force","Colorado State",-10,-103,2016-03-05
"86","Air Force","Colorado State",-7.5,-110,2017-01-07
"87","Air Force","Colorado State",-7.5,-110,2017-03-09
"88","Air Force","Colorado State",-8.5,-110,2018-01-17
"89","Air Force","Denver U",-4.5,-110,2015-12-05
"90","Air Force","Denver U",-3.5,-108,2017-12-02
"91","Air Force","Drake",-5,-105,2011-12-03
"92","Air Force","Florida",-19,-103,2012-12-29
"93","Air Force","Fresno State",-2,-107,2013-03-02
"94","Air Force","Fresno State",-7.5,-108,2014-01-08
"95","Air Force","Fresno State",-6,-107,2014-03-12
"96","Air Force","Fresno State",-6.5,-109,2015-03-04
"97","Air Force","Fresno State",-11,-110,2016-02-24
"98","Air Force","Fresno State",-9.5,-103,2017-02-01
"99","Air Force","Fresno State",-16,-108,2017-12-30
"100","Air Force","Gonzaga",-18,-105,2011-12-22
"101","Air Force","Hawaii",1,-110,2013-03-20
"102","Air Force","Hawaii",-3,-101,2013-03-21
"103","Air Force","Indiana State",-5.5,-110,2017-11-29
"104","Air Force","Nevada",-4,-107,2013-02-09
"105","Air Force","Nevada",-10.5,-105,2014-02-01
"106","Air Force","Nevada",-1.5,-105,2015-01-03
"107","Air Force","Nevada",-11,-105,2016-02-10
"108","Air Force","Nevada",-11.5,-105,2017-01-18
"109","Air Force","New Mexico",-12.5,-111,2011-03-05
"110","Air Force","New Mexico",-16.5,-101,2012-02-29
"111","Air Force","New Mexico",-14.5,-105,2012-03-08
"112","Air Force","New Mexico",-11.5,-102,2013-02-06
"113","Air Force","New Mexico",-17,-105,2014-03-05
"114","Air Force","New Mexico",-11,-102,2015-01-14
"115","Air Force","New Mexico",-3,-109,2015-03-11
"116","Air Force","New Mexico",-15.5,-105,2016-01-27
"117","Air Force","New Mexico",-11,-105,2017-12-27
"118","Air Force","Northern Arizona",-8.5,-108,2010-12-22
"119","Air Force","Ohio State",-14.5,-110,2015-12-08
"120","Air Force","Richmond",-5,-103,2013-01-02
"121","Air Force","San Diego State",-18.5,-103,2011-01-19
"122","Air Force","San Diego State",-11.5,-101,2012-01-21
"123","Air Force","San Diego State",-14,-103,2013-03-06
"124","Air Force","San Diego State",-17,-102,2014-02-15
"125","Air Force","San Diego State",-14,-105,2014-12-31
