"","AwayTeamName","HomeTeamName","Line","ProfitLine","Date"
"1","Wisconsin Lutheran","Green Bay",-45.5,-120,2018-11-06
"2","St. Francis - PA","Buffalo",-22.5,-120,2018-11-06
"3","Rochester College","Eastern Michigan",-46.5,-120,2018-11-06
"4","Kentucky Christian","Morehead State",-45,-120,2018-11-06
"5","Siena","Providence",-19,-105,2018-11-06
"6","Rider","Central Florida",-7.5,-105,2018-11-06
"7","Wagner","Seton Hall",-17,-110,2018-11-06
"8","Loyola Maryland","St. John's",-26.5,-110,2018-11-06
"9","Chicago State","Indiana U",-37,-110,2018-11-06
"10","Michigan State","Kansas",-4.5,-105,2018-11-06
"11","Towson","Virginia",-26,-102,2018-11-06
"12","Wisconsin Milwaukee","Boston College",-16,-105,2018-11-06
"13","Youngstown State","Pittsburgh",-13.5,-105,2018-11-06
"14","Illinois Chicago","Notre Dame",-11,-107,2018-11-06
"15","Detroit U","Western Michigan",-11.5,-103,2018-11-06
"16","Cleveland State","Davidson",-18.5,-101,2018-11-06
"17","Pennsylvania","George Mason",-5,-105,2018-11-06
"18","Indiana State","Ball State",-7,-109,2018-11-06
"19","Chattanooga","Charlotte U",-4.5,-108,2018-11-06
"20","The Citadel","Clemson",-28,-105,2018-11-06
"21","Fairfield","Purdue",-20,-105,2018-11-06
"22","Eastern Michigan","Syracuse",NA,NA,2018-11-06
"23","East Tennessee State","Georgia State",-7,-110,2018-11-06
"24","North Carolina","Wofford",10,-102,2018-11-06
"25","Navy","Old Dominion",-14.5,-110,2018-11-06
"26","Bryant","Rhode Island",-16.5,-110,2018-11-06
"27","Gardner Webb","VA Commonwealth",-14,-110,2018-11-06
"28","Presbyterian","College of Charleston",-19,-110,2018-11-06
"29","Marist","Army",-4.5,-110,2018-11-06
"30","S. Carolina Upstate","South Carolina",-25,-110,2018-11-06
"31","Alabama A&M","South Florida",-16.5,-110,2018-11-06
"32","Stony Brook","George Washington",-6,-110,2018-11-06
"33","Mt. St. Mary's","NC State",-26.5,-110,2018-11-06
"34","Florida A&M","Jacksonville",-13,-110,2018-11-06
"35","Central Conn. St.","Hartford",-11.5,-110,2018-11-06
"36","Morgan State","Villanova",-36.5,-110,2018-11-06
"37","UMASS Lowell","Massachusetts",-13.5,-110,2018-11-06
"38","Florida Gulf Coast","Illinois State",-11.5,-110,2018-11-06
"39","Colgate","NJIT",1.5,-110,2018-11-06
"40","Eastern Washington","Syracuse",-18,-103,2018-11-06
"41","Lenoir Rhyne","Tennessee",-46,-120,2018-11-06
"42","Cedarville","Akron",-17.5,-120,2018-11-06
"43","Rivier","New Hampshire",-54.5,-120,2018-11-06
"44","Johnson & Wales - CO","Air Force",-34.5,-120,2018-11-06
"45","East Mennonite","James Madison",-31.5,-120,2018-11-06
"46","New Rochelle","LIU Brooklyn",-44.5,-120,2018-11-06
"47","Davis & Elkins","Radford",-26.5,-120,2018-11-06
"48","Bob Jones University","Furman",-48.5,-120,2018-11-06
"49","Newbury College","Dartmouth",-49.5,-120,2018-11-06
"50","City College - NY","Fordham",-51.5,-120,2018-11-06
"51","Wilmington - OH","Northern Kentucky",-33.5,-120,2018-11-06
"52","MIT","Harvard",-23.5,-120,2018-11-06
"53","Mid-Atlantic Christian...","Hampton",-53.5,-120,2018-11-06
"54","Randolph College","Longwood",-27.5,-120,2018-11-06
"55","Sacred Heart","Holy Cross",-11,-110,2018-11-06
"56","La Salle","Temple",-8,-104,2018-11-06
"57","Delaware","Maryland",-20.5,-103,2018-11-06
"58","NC Greensboro","North Carolina A&T",16,-110,2018-11-06
"59","NC Wilmington","Campbell",-1,-110,2018-11-06
"60","Incarnate Word","Texas Tech",-33,-110,2018-11-06
"61","North Alabama","Samford",-6.5,-110,2018-11-06
"62","Texas Wesleyan","Stephen F. Austin",-26.5,-120,2018-11-06
"63","Columbia International","Charleston Southern",-51.5,-120,2018-11-06
"64","Delaware State","East Carolina",-17,-110,2018-11-06
"65","Louisiana Tech","Wichita State",-9.5,-110,2018-11-06
"66","CS Fullerton","Arizona State",-13,-102,2018-11-06
"67","Mercer","UAB",-7.5,-102,2018-11-06
"68","Tennessee Tech","Memphis U",-16.5,-102,2018-11-06
"69","Oral Roberts","Missouri State",-7,-108,2018-11-06
"70","SE Missouri State","Saint Louis",-21,-107,2018-11-06
"71","Pacific","SIU Edwardsville",7.5,-101,2018-11-06
"72","Eastern Illinois","Texas",-23.5,-102,2018-11-06
"73","Nebraska Omaha","Minnesota U",-15,-105,2018-11-06
"74","UL Monroe","Jackson State",9,-110,2018-11-06
"75","Mississippi Valley State","Nebraska",-33.5,-110,2018-11-06
"76","Southern","Alabama",-27,-110,2018-11-06
"77","Alcorn State","Tulsa",-21.5,-110,2018-11-06
