"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 10, 2017","Elon","Away","Duke","68","25","63",".397","14","33",".424","4","7",".571","5","23","28","10","14","3","1","12"
"2","November 10, 2017","Duke","Home","Elon","97","41","74",".554","12","25",".480","3","11",".273","15","30","45","21","10","7","3","16"
"3","November 10, 2017","North Florida","Away","Michigan State","66","23","66",".348","11","29",".379","9","15",".600","8","14","22","8","19","9","2","24"
"4","November 10, 2017","Michigan State","Home","North Florida","98","35","61",".574","3","12",".250","25","32",".781","13","32","45","22","21","12","10","21"
"5","November 10, 2017","Northern Arizona","Away","Arizona","67","23","58",".397","4","13",".308","17","30",".567","9","10","19","11","11","3","1","24"
"6","November 10, 2017","Arizona","Home","Northern Arizona","101","34","57",".596","5","13",".385","28","32",".875","10","30","40","21","11","6","6","23"
"7","November 10, 2017","Tennessee State","Away","Kansas","56","19","58",".328","8","23",".348","10","16",".625","7","14","21","7","15","10","0","16"
"8","November 10, 2017","Kansas","Home","Tennessee State","92","36","60",".600","12","28",".429","8","11",".727","10","33","43","23","20","8","7","13"
"9","November 10, 2017","Utah Valley","Away","Kentucky","63","23","56",".411","5","18",".278","12","18",".667","11","20","31","12","17","8","8","20"
"10","November 10, 2017","Kentucky","Home","Utah Valley","73","26","66",".394","5","15",".333","16","23",".696","15","20","35","17","13","11","8","18"
"11","November 10, 2017","Columbia","Away","Villanova","60","23","55",".418","8","24",".333","6","12",".500","3","25","28","10","13","3","1","20"
"12","November 10, 2017","Villanova","Home","Columbia","75","27","67",".403","7","32",".219","14","22",".636","15","28","43","11","6","4","2","16"
"13","November 10, 2017","UMKC","Away","Wichita State","57","18","65",".277","9","26",".346","12","17",".706","4","16","20","6","14","6","4","21"
"14","November 10, 2017","Wichita State","Home","UMKC","109","39","64",".609","13","23",".565","18","23",".783","6","42","48","26","14","4","11","15"
"15","November 10, 2017","Northern Iowa","Away","UNC","69","23","55",".418","13","28",".464","10","15",".667","5","20","25","15","14","2","1","20"
"16","November 10, 2017","UNC","Home","Northern Iowa","86","31","62",".500","6","18",".333","18","21",".857","9","26","35","20","7","8","3","15"
"17","November 10, 2017","Cal State Fullerton","Away","USC","42","14","60",".233","2","19",".105","12","29",".414","12","28","40","4","19","4","3","19"
"18","November 10, 2017","USC","Home","Cal State Fullerton","84","28","68",".412","10","24",".417","18","25",".720","11","35","46","11","13","6","9","25"
"19","November 10, 2017","Texas A&M","Away","West Virginia","88","31","64",".484","10","19",".526","16","20",".800","10","35","45","22","17","10","5","16"
"20","November 10, 2017","West Virginia","Home","Texas A&M","65","24","70",".343","12","40",".300","5","9",".556","10","23","33","19","16","7","8","19"
"21","November 10, 2017","Savannah State","Away","Cincinnati","77","26","74",".351","13","44",".295","12","16",".750","7","21","28","19","17","11","4","24"
"22","November 10, 2017","Cincinnati","Home","Savannah State","107","41","86",".477","13","39",".333","12","24",".500","22","36","58","24","20","7","4","17"
"23","November 10, 2017","Gardner-Webb","Away","Miami (FL)","45","20","63",".317","4","16",".250","1","6",".167","8","25","33","10","14","5","0","19"
"24","November 10, 2017","Miami (FL)","Home","Gardner-Webb","77","30","60",".500","7","26",".269","10","21",".476","9","33","42","21","11","5","3","15"
"25","November 10, 2017","USC Upstate","Away","Minnesota","77","26","68",".382","14","31",".452","11","16",".688","11","21","32","13","12","5","2","25"
"26","November 10, 2017","Minnesota","Home","USC Upstate","92","32","70",".457","9","28",".321","19","31",".613","19","30","49","20","12","3","6","16"
"27","November 10, 2017","Morehead State","Away","Xavier","49","14","59",".237","7","23",".304","14","22",".636","13","17","30","5","16","9","4","27"
"28","November 10, 2017","Xavier","Home","Morehead State","101","36","53",".679","12","21",".571","17","28",".607","5","34","39","26","15","11","10","19"
"29","November 10, 2017","Texas Southern","Away","Gonzaga","69","26","72",".361","4","21",".190","13","23",".565","13","19","32","5","10","9","3","21"
"30","November 10, 2017","Gonzaga","Home","Texas Southern","97","35","72",".486","11","25",".440","16","22",".727","15","35","50","21","14","8","2","23"
"31","November 10, 2017","Loyola (MD)","Away","Northwestern","75","24","59",".407","8","17",".471","19","29",".655","10","28","38","14","17","6","2","30"
"32","November 10, 2017","Northwestern","Home","Loyola (MD)","79","25","61",".410","5","21",".238","24","37",".649","9","27","36","13","14","5","12","25"
"33","November 10, 2017","SIU-Edwardsville","Away","Purdue","74","31","81",".383","10","31",".323","2","7",".286","19","15","34","15","15","4","2","24"
"34","November 10, 2017","Purdue","Home","SIU-Edwardsville","105","36","61",".590","9","19",".474","24","32",".750","10","24","34","24","11","8","8","15"
"35","November 10, 2017","Georgia Tech","Away","UCLA","60","20","58",".345","4","18",".222","16","20",".800","11","23","34","12","9","7","5","20"
"36","November 10, 2017","UCLA","Home","Georgia Tech","63","22","54",".407","5","14",".357","14","21",".667","10","20","30","11","14","6","6","17"
"37","November 10, 2017","Fairleigh Dickinson","Away","Seton Hall","68","24","56",".429","10","24",".417","10","16",".625","6","16","22","15","15","6","3","20"
"38","November 10, 2017","Seton Hall","Home","Fairleigh Dickinson","90","33","66",".500","9","24",".375","15","23",".652","16","25","41","22","12","6","2","18"
"39","November 10, 2017","Central Arkansas","Away","Baylor","66","25","63",".397","6","20",".300","10","15",".667","5","12","17","15","12","4","4","19"
"40","November 10, 2017","Baylor","Home","Central Arkansas","107","39","59",".661","12","17",".706","17","20",".850","8","31","39","29","16","5","3","16"
