"DateOfGame","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","Pythag","RankPythag","AdjEM","RankAdjEM"
"2016-11-11","Abilene Christian",0,1,70.7477,181,0,1,93.8418,304,0,1,107.375,329,0.180112,322,-13.5334,322
"2016-11-11","Air Force",0,1,70.1659,243,0,1,98.644,203,0,1,100.896,193,0.436852,198,-2.25204,198
"2016-11-11","Akron",0,1,70.9221,168,0,1,104.218,80,0,1,98.1281,116,0.663143,90,6.08952,90
"2016-11-11","Alabama",0,1,68.7449,322,0,1,101.5,126,0,1,93.0628,41,0.726383,70,8.43743,73
"2016-11-11","Alabama A&M",0,1,69.2492,302,0,1,89.6907,341,0,1,109.274,343,0.0978081,346,-19.5837,347
"2016-11-11","Alabama St.",0,1,71.5719,118,0,1,93.48,309,0,1,104.615,280,0.219933,305,-11.1349,302
"2016-11-11","Albany",0,1,69.3389,294,0,1,99.5375,174,0,1,100.652,186,0.468733,183,-1.11422,183
"2016-11-11","Alcorn St.",0,1,69.1907,304,0,1,90.1115,340,0,1,107.516,332,0.120614,338,-17.4042,338
"2016-11-11","American",0,1,65.8871,350,0,1,91.9745,328,0,1,103.843,260,0.203365,316,-11.8684,315
"2016-11-11","Appalachian St.",0,1,72.2488,74,0,1,94.3863,297,0,1,104.963,290,0.232386,297,-10.5767,298
"2016-11-11","Arizona",0,1,71.1872,147,0,1,111.256,12,0,1,90.5125,15,0.910637,10,20.7439,10
"2016-11-11","Arizona St.",0,1,71.6515,110,0,1,105.669,61,0,1,95.7589,75,0.751731,65,9.90999,65
"2016-11-11","Arkansas",0,1,73.041,43,0,1,106.89,46,0,1,93.5782,49,0.817018,53,13.3117,53
"2016-11-11","Arkansas Pine Bluff",0,1,68.7625,319,0,1,87.7271,348,0,1,107.108,324,0.0957359,347,-19.3804,345
"2016-11-11","Arkansas St.",0,1,72.0464,87,0,1,94.8122,287,0,1,103.739,258,0.266531,281,-8.92698,281
"2016-11-11","Army",0,1,72.0994,85,0,1,92.3517,322,0,1,106.478,316,0.167805,325,-14.1263,325
"2016-11-11","Auburn",0,1,73.6569,26,0,1,100.175,158,0,1,99.6723,145,0.514134,153,0.502298,153
"2016-11-11","Austin Peay",0,1,72.405,64,0,1,95.5759,266,0,1,105.616,299,0.24531,292,-10.0404,292
"2016-11-11","Ball St.",0,1,69.2762,299,0,1,101.233,132,0,1,99.1446,139,0.558352,132,2.08808,133
"2016-11-11","Baylor",0,1,69.8162,273,0,1,109.374,24,0,1,92.5043,33,0.868132,26,16.8693,25
"2016-11-11","Belmont",0,1,73.3229,38,0,1,106.724,47,0,1,102.533,237,0.610814,114,4.19142,112
"2016-11-11","Bethune Cookman",0,1,69.6014,286,0,1,92.0495,326,0,1,108.652,341,0.134057,333,-16.6029,333
"2016-11-11","Binghamton",0,1,69.8467,271,0,1,94.0934,301,0,1,101.43,212,0.300547,263,-7.3369,261
"2016-11-11","Boise St.",0,1,71.2447,145,0,1,101.419,128,0,1,98.2012,121,0.589693,118,3.21757,118
"2016-11-11","Boston College",0,1,70.2852,230,0,1,98.0189,219,0,1,97.8203,109,0.505705,154,0.198642,154
"2016-11-11","Boston University",0,1,71.3302,137,0,1,101.415,129,0,1,101.537,215,0.496597,162,-0.122787,162
"2016-11-11","Bowling Green",0,1,71.0141,159,0,1,97.8842,227,0,1,98.7209,130,0.476078,176,-0.836772,174
"2016-11-11","Bradley",0,1,70.256,235,0,1,93.6262,306,0,1,98.1512,119,0.370287,222,-4.52497,221
"2016-11-11","Brown",0,1,72.3016,68,0,1,97.5343,235,0,1,104.574,279,0.313449,256,-7.03993,256
"2016-11-11","Bryant",0,1,70.5359,206,0,1,94.93,284,0,1,106.274,312,0.219265,307,-11.3444,309
"2016-11-11","Bucknell",0,1,72.9584,46,0,1,99.4654,179,0,1,100.932,197,0.458922,190,-1.46674,189
"2016-11-11","Buffalo",0,1,73.4733,33,0,1,102.569,109,0,1,98.2095,122,0.619787,110,4.35973,110
"2016-11-11","Butler",0,1,70.5641,203,0,1,108.863,29,0,1,91.372,23,0.877662,19,17.4912,19
"2016-11-11","BYU",0,1,75.3099,8,0,1,108.419,33,0,1,95.1262,68,0.813285,54,13.2929,54
"2016-11-11","Cal Poly",0,1,68.5569,327,0,1,96.8409,249,0,1,102.05,224,0.356768,230,-5.20903,230
"2016-11-11","Cal St. Bakersfield",0,1,70.0479,254,0,1,99.623,172,0,1,97.191,99,0.569066,129,2.43198,129
"2016-11-11","Cal St. Fullerton",0,1,71.5489,120,0,1,97.8043,229,0,1,103.867,262,0.337024,243,-6.06253,244
"2016-11-11","Cal St. Northridge",0,1,72.8522,49,0,1,101.355,130,0,1,102.236,229,0.475678,178,-0.880996,178
"2016-11-11","California",0,1,70.3338,223,0,1,104.927,68,0,1,91.4836,24,0.823812,50,13.443,52
"2016-11-11","Campbell",0,1,70.4672,210,0,1,94.9166,285,0,1,106.78,319,0.209993,313,-11.8637,314
"2016-11-11","Canisius",0,1,70.0424,255,0,1,99.4331,180,0,1,104.537,277,0.362824,226,-5.10386,226
"2016-11-11","Central Arkansas",0,1,73.7894,20,0,1,93.8874,302,0,1,109.669,346,0.148306,331,-15.7819,332
