date,teamname_name,teamname_AdjEM,teamname_AdjO,teamname_AdjD,teamname_AdjT
"Friday, December 1, 2017",Kansas,28.26,118,89.7,72.2
"Friday, December 1, 2017",Villanova,27.25,118.6,91.3,68.8
"Friday, December 1, 2017",Michigan St.,26.7,116.1,89.4,70
"Friday, December 1, 2017",Virginia,26.58,112.3,85.8,62.3
"Friday, December 1, 2017",Wichita St.,25.46,117.7,92.3,70.2
"Friday, December 1, 2017",Duke,25.41,122.1,96.7,71.6
"Friday, December 1, 2017",Texas A&M,25.03,114.6,89.6,69.8
"Friday, December 1, 2017",Cincinnati,23.98,113.6,89.6,68.4
"Friday, December 1, 2017",Kentucky,23.45,114.6,91.2,70.2
"Friday, December 1, 2017",Florida,23.12,117.1,93.9,73
"Friday, December 1, 2017",North Carolina,22.93,115.6,92.7,74.8
"Friday, December 1, 2017",Purdue,22.77,115.7,92.9,71
"Friday, December 1, 2017",West Virginia,22.02,114.1,92.1,75.3
"Friday, December 1, 2017",Notre Dame,21.92,118.6,96.7,65.7
"Friday, December 1, 2017",Gonzaga,21.5,115.7,94.2,70.5
"Friday, December 1, 2017",Arizona,20.99,117.4,96.4,70
"Friday, December 1, 2017",Miami FL,20.71,112.1,91.4,69.3
"Friday, December 1, 2017",Xavier,20.51,117.7,97.2,71.5
"Friday, December 1, 2017",Texas Tech,20.47,113.1,92.7,69.5
"Friday, December 1, 2017",USC,19.9,114,94.1,73.1
"Friday, December 1, 2017",Seton Hall,19.62,114.2,94.6,70.5
"Friday, December 1, 2017",Baylor,19.14,113,93.8,65.7
"Friday, December 1, 2017",Louisville,18.82,110.8,92,71.3
"Friday, December 1, 2017",TCU,18.66,113.9,95.2,71.3
"Friday, December 1, 2017",Minnesota,18.61,114.6,96,73.4
"Friday, December 1, 2017",Oklahoma,18.37,113.1,94.7,75.8
"Friday, December 1, 2017",Tennessee,18.2,111.8,93.6,70.5
"Friday, December 1, 2017",Texas,18.07,108.6,90.6,70
"Friday, December 1, 2017",SMU,17.94,111.8,93.9,66
"Friday, December 1, 2017",Arkansas,17.73,113.8,96,74.8
"Friday, December 1, 2017",Alabama,17.41,111.4,94,71
"Friday, December 1, 2017",Wisconsin,17.28,110.2,93,66.3
"Friday, December 1, 2017",Creighton,16.77,114.8,98,74.3
"Friday, December 1, 2017",Saint Mary's,16.72,118.9,102.2,64.7
"Friday, December 1, 2017",Providence,16.43,114,97.5,67.8
"Friday, December 1, 2017",Maryland,16.2,111.2,95,69.4
