date,teamname_name,teamname_AdjEM,teamname_AdjO,teamname_AdjD,teamname_AdjT
"Thursday, February 1, 2018",Villanova,32.5,128.4,95.9,68.4
"Thursday, February 1, 2018",Virginia,31.97,114.2,82.2,59.7
"Thursday, February 1, 2018",Purdue,31.03,123.5,92.4,67.6
"Thursday, February 1, 2018",Duke,28.45,125.9,97.4,72.2
"Thursday, February 1, 2018",Cincinnati,27.36,112.5,85.2,65.4
"Thursday, February 1, 2018",Michigan St.,27.11,119.4,92.3,67.9
"Thursday, February 1, 2018",Gonzaga,24.19,120.5,96.4,69.5
"Thursday, February 1, 2018",Kansas,23.81,118.3,94.5,69.7
"Thursday, February 1, 2018",Tennessee,23.76,115.6,91.8,67.1
"Thursday, February 1, 2018",Auburn,23.66,118.7,95,72.9
"Thursday, February 1, 2018",Xavier,21.81,119.1,97.3,71.1
"Thursday, February 1, 2018",North Carolina,21.71,117.4,95.7,71.9
"Thursday, February 1, 2018",Texas Tech,21.7,111.4,89.7,67.4
"Thursday, February 1, 2018",Ohio St.,21.67,116.1,94.4,67
"Thursday, February 1, 2018",Saint Mary's,21,122.1,101.1,64
"Thursday, February 1, 2018",Clemson,20.62,114.7,94.1,66.1
"Thursday, February 1, 2018",Nevada,20.31,119.7,99.4,69.6
"Thursday, February 1, 2018",West Virginia,19.44,115.2,95.8,71.3
"Thursday, February 1, 2018",Arizona,19.34,119.6,100.3,68.5
"Thursday, February 1, 2018",Wichita St.,19.27,117.9,98.6,68.9
"Thursday, February 1, 2018",TCU,19.25,120.8,101.6,69.4
"Thursday, February 1, 2018",Butler,19.04,116,96.9,67.9
"Thursday, February 1, 2018",Creighton,18.94,116.1,97.2,72.2
"Thursday, February 1, 2018",Michigan,18.8,113.5,94.7,63.7
"Thursday, February 1, 2018",Florida St.,18.32,117.6,99.3,71.6
"Thursday, February 1, 2018",Oklahoma,18.29,118.3,100,76
"Thursday, February 1, 2018",Arizona St.,18.02,119.9,101.9,71.1
"Thursday, February 1, 2018",Kentucky,17.94,113.6,95.7,69.2
"Thursday, February 1, 2018",Florida,17.93,115.9,98,68.6
"Thursday, February 1, 2018",Seton Hall,17.58,113.8,96.3,69.8
"Thursday, February 1, 2018",Louisville,17.42,111.4,94,70.1
"Thursday, February 1, 2018",Miami FL,17.25,111,93.7,67.5
"Thursday, February 1, 2018",Texas A&M,17.08,108.4,91.3,67.9
"Thursday, February 1, 2018",Rhode Island,16.33,112.7,96.4,69.6
"Thursday, February 1, 2018",Texas,16.25,106.9,90.7,66.1
"Thursday, February 1, 2018",Maryland,16.19,113.8,97.6,67.2
"Thursday, February 1, 2018",Notre Dame,16.19,113.5,97.3,64.7
"Thursday, February 1, 2018",Virginia Tech,16.03,115.9,99.9,71
"Thursday, February 1, 2018",Houston,15.99,112.7,96.7,68.8
"Thursday, February 1, 2018",New Mexico St.,15.94,108.3,92.3,67.3
"Thursday, February 1, 2018",Kansas St.,15.77,114.8,99,65.5
"Thursday, February 1, 2018",Missouri,15.71,114.3,98.6,65.1
"Thursday, February 1, 2018",SMU,15.2,114.3,99.1,63.9
"Thursday, February 1, 2018",Middle Tennessee,15.16,109.1,93.9,66.2
"Thursday, February 1, 2018",USC,14.83,115.9,101.1,69
"Thursday, February 1, 2018",Western Kentucky,14.75,112.6,97.9,69.6
"Thursday, February 1, 2018",Boise St.,14.62,108.9,94.3,69
"Thursday, February 1, 2018",Syracuse,14.51,106.7,92.1,63.8
"Thursday, February 1, 2018",Baylor,14.32,111.3,97,66.2
"Thursday, February 1, 2018",Arkansas,14.27,115.4,101.1,70.5
"Thursday, February 1, 2018",Marquette,14.2,118.1,103.9,69.7
"Thursday, February 1, 2018",BYU,13.89,109.5,95.6,67
"Thursday, February 1, 2018",Penn St.,13.42,109.7,96.3,69.1
"Thursday, February 1, 2018",Louisiana Lafayette,13.18,111.6,98.5,70.4
"Thursday, February 1, 2018",Loyola Chicago,12.86,109.6,96.7,65.4
"Thursday, February 1, 2018",Nebraska,12.85,109.5,96.6,67.7
"Thursday, February 1, 2018",UCLA,12.82,115.2,102.4,70.7
"Thursday, February 1, 2018",Georgia,12.44,106.7,94.3,64.1
"Thursday, February 1, 2018",Alabama,12.26,107.8,95.6,69.5
"Thursday, February 1, 2018",Murray St.,12.26,116.2,103.9,66.8
"Thursday, February 1, 2018",San Diego St.,12.19,111.6,99.4,69.6
"Thursday, February 1, 2018",Vermont,12.1,115.7,103.6,63.9
"Thursday, February 1, 2018",Providence,12.08,110.9,98.8,67.3
"Thursday, February 1, 2018",Utah,11.92,111.5,99.5,66.6
"Thursday, February 1, 2018",North Carolina St.,11.88,114.1,102.2,71.1
"Thursday, February 1, 2018",East Tennessee St.,11.68,107.9,96.2,67.3
"Thursday, February 1, 2018",Mississippi St.,11.62,105.2,93.6,68.4
"Thursday, February 1, 2018",Old Dominion,11.62,109,97.4,64.2
"Thursday, February 1, 2018",LSU,11.23,113.7,102.5,68.3
"Thursday, February 1, 2018",Davidson,10.83,114.7,103.8,65.1
"Thursday, February 1, 2018",Montana,10.75,108.6,97.8,68.5
"Thursday, February 1, 2018",South Carolina,10.67,106.6,95.9,69
"Thursday, February 1, 2018",Oklahoma St.,10.67,108.5,97.8,69.4
"Thursday, February 1, 2018",St. Bonaventure,10.62,108.5,97.9,69.7
"Thursday, February 1, 2018",Oregon,10.55,111.3,100.7,68.3
"Thursday, February 1, 2018",Northern Kentucky,10.54,108.8,98.3,68.4
"Thursday, February 1, 2018",Mississippi,10.36,114.5,104.1,69
"Thursday, February 1, 2018",Buffalo,9.77,112.3,102.5,73.3
"Thursday, February 1, 2018",South Dakota,9.58,107.8,98.2,70.5
"Thursday, February 1, 2018",UNLV,9.2,112,102.8,72.9
"Thursday, February 1, 2018",Boston College,9.11,109.8,100.7,68.8
"Thursday, February 1, 2018",Northwestern,9.03,108.6,99.6,65.1
"Thursday, February 1, 2018",Belmont,8.82,110.7,101.9,66.8
"Thursday, February 1, 2018",South Dakota St.,8.7,113.9,105.2,69.9
"Thursday, February 1, 2018",Temple,8.5,108.3,99.8,66
"Thursday, February 1, 2018",Fresno St.,8.42,112.4,104,66
"Thursday, February 1, 2018",Vanderbilt,8.2,112.6,104.4,65.6
"Thursday, February 1, 2018",St. John's,8.11,104.7,96.6,69.7
"Thursday, February 1, 2018",Wake Forest,8.09,110.5,102.4,68.7
"Thursday, February 1, 2018",Wisconsin,7.8,108.1,100.3,63.5
"Thursday, February 1, 2018",Indiana,7.77,108.5,100.7,66.9
"Thursday, February 1, 2018",Minnesota,7.74,110.1,102.4,70.2
"Thursday, February 1, 2018",Washington,7.55,106.7,99.2,69.8
"Thursday, February 1, 2018",Iowa,7.54,115.1,107.6,70.5
"Thursday, February 1, 2018",Illinois,7.45,106.7,99.2,71.2
"Thursday, February 1, 2018",Utah Valley,7.4,112.7,105.3,67.7
"Thursday, February 1, 2018",Iowa St.,7.21,110.9,103.6,68.1
"Thursday, February 1, 2018",UC Santa Barbara,7.15,113,105.8,67.7
"Thursday, February 1, 2018",UAB,7.14,111.8,104.7,66.1
"Thursday, February 1, 2018",Stanford,6.96,105.6,98.7,69.5
"Thursday, February 1, 2018",Furman,6.88,107.5,100.6,68.6
"Thursday, February 1, 2018",UCF,6.79,98.1,91.3,65.7
"Thursday, February 1, 2018",Grand Canyon,6.69,101.3,94.7,68.3
"Thursday, February 1, 2018",Bradley,6.47,103.3,96.8,66.3
"Thursday, February 1, 2018",Georgia Tech,6.45,103.9,97.4,65.7
"Thursday, February 1, 2018",Bucknell,6.37,109.4,103,72.1
"Thursday, February 1, 2018",Oregon St.,6.07,106.6,100.5,65.4
"Thursday, February 1, 2018",Wyoming,6.07,104.3,98.3,73.4
"Thursday, February 1, 2018",Northeastern,5.96,107.2,101.2,67
"Thursday, February 1, 2018",Toledo,5.94,113.8,107.8,68.7
"Thursday, February 1, 2018",Georgetown,5.86,106.2,100.3,70.6
"Thursday, February 1, 2018",Missouri St.,5.81,106.1,100.3,65
"Thursday, February 1, 2018",Colorado,5.72,103.8,98.1,68.7
"Thursday, February 1, 2018",Towson,5.45,107.6,102.2,67.3
"Thursday, February 1, 2018",UNC Greensboro,5.16,104.5,99.3,65
"Thursday, February 1, 2018",Georgia St.,5.14,103.8,98.6,66.6
"Thursday, February 1, 2018",New Mexico,4.98,110.4,105.4,69.7
"Thursday, February 1, 2018",Southern Illinois,4.97,107.5,102.6,67.9
"Thursday, February 1, 2018",DePaul,4.95,105.1,100.2,70.1
"Thursday, February 1, 2018",San Diego,4.83,102.6,97.8,67.2
"Thursday, February 1, 2018",Wright St.,4.55,99,94.5,68.3
"Thursday, February 1, 2018",Iona,4.46,110.6,106.2,70.5
"Thursday, February 1, 2018",Princeton,4.4,108.9,104.5,64.1
"Thursday, February 1, 2018",Florida Gulf Coast,4.33,107.4,103,70.7
"Thursday, February 1, 2018",UC Davis,4.32,102.9,98.6,67.3
"Thursday, February 1, 2018",VCU,4.28,108.6,104.3,70.5
"Thursday, February 1, 2018",Idaho,4.13,104.8,100.7,66.2
"Thursday, February 1, 2018",Georgia Southern,4.12,105.4,101.3,67.7
"Thursday, February 1, 2018",Stephen F. Austin,4.11,104.6,100.5,71.9
"Thursday, February 1, 2018",UT Arlington,4.01,103.4,99.4,73.5
"Thursday, February 1, 2018",Marshall,3.93,108.1,104.2,76.1
"Thursday, February 1, 2018",Northern Colorado,3.8,105.6,101.8,71.1
