"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Saturday, December 2, 2017","Kansas","+28.29","118.1","89.8","72.1"
"Saturday, December 2, 2017","Villanova","+27.24","118.7","91.4","68.6"
"Saturday, December 2, 2017","Michigan St.","+26.71","116.1","89.4","69.8"
"Saturday, December 2, 2017","Virginia","+26.59","112.4","85.8","62.1"
"Saturday, December 2, 2017","Wichita St.","+25.47","117.8","92.4","70.1"
"Saturday, December 2, 2017","Duke","+25.42","122.2","96.8","71.5"
"Saturday, December 2, 2017","Texas A&M","+25.06","114.7","89.7","69.7"
"Saturday, December 2, 2017","Cincinnati","+23.98","113.6","89.7","68.3"
"Saturday, December 2, 2017","Kentucky","+23.44","114.7","91.2","70.0"
"Saturday, December 2, 2017","Florida","+23.18","117.2","94.0","72.8"
"Saturday, December 2, 2017","Purdue","+23.13","116.8","93.6","70.4"
"Saturday, December 2, 2017","North Carolina","+22.89","116.0","93.1","74.5"
"Saturday, December 2, 2017","Gonzaga","+22.24","116.3","94.1","70.4"
"Saturday, December 2, 2017","West Virginia","+22.08","114.2","92.1","75.1"
"Saturday, December 2, 2017","Notre Dame","+21.93","118.7","96.7","65.5"
"Saturday, December 2, 2017","Arizona","+20.97","117.4","96.4","69.9"
"Saturday, December 2, 2017","Miami FL","+20.69","112.1","91.4","69.1"
"Saturday, December 2, 2017","Xavier","+20.52","117.8","97.2","71.3"
"Saturday, December 2, 2017","Texas Tech","+20.41","113.2","92.8","69.4"
"Saturday, December 2, 2017","USC","+19.90","114.1","94.2","72.9"
"Saturday, December 2, 2017","Seton Hall","+19.62","114.3","94.6","70.4"
"Saturday, December 2, 2017","Baylor","+19.08","113.0","93.9","65.5"
"Saturday, December 2, 2017","Louisville","+18.84","110.9","92.0","71.2"
"Saturday, December 2, 2017","TCU","+18.65","114.0","95.3","71.2"
"Saturday, December 2, 2017","Minnesota","+18.63","114.7","96.1","73.2"
"Saturday, December 2, 2017","Oklahoma","+18.30","113.1","94.8","75.7"
"Saturday, December 2, 2017","Tennessee","+18.24","111.8","93.6","70.4"
"Saturday, December 2, 2017","Texas","+18.13","108.7","90.6","69.8"
"Saturday, December 2, 2017","SMU","+17.90","111.9","94.0","65.8"
"Saturday, December 2, 2017","Arkansas","+17.74","113.8","96.1","74.7"
"Saturday, December 2, 2017","Alabama","+17.41","111.5","94.1","70.8"
"Saturday, December 2, 2017","Wisconsin","+17.26","110.3","93.0","66.1"
"Saturday, December 2, 2017","Saint Mary's","+16.72","119.0","102.3","64.5"
"Saturday, December 2, 2017","Providence","+16.42","114.1","97.6","67.6"
"Saturday, December 2, 2017","Creighton","+15.98","114.7","98.7","74.3"
"Saturday, December 2, 2017","Maryland","+15.87","112.0","96.1","68.8"
"Saturday, December 2, 2017","Penn St.","+15.81","109.6","93.8","73.1"
"Saturday, December 2, 2017","Virginia Tech","+15.77","114.3","98.5","73.3"
"Saturday, December 2, 2017","Nevada","+15.55","113.0","97.4","71.8"
"Saturday, December 2, 2017","Temple","+15.53","112.7","97.2","69.7"
"Saturday, December 2, 2017","Florida St.","+15.42","112.6","97.2","73.6"
"Saturday, December 2, 2017","Auburn","+15.33","113.7","98.4","74.4"
"Saturday, December 2, 2017","Kansas St.","+15.03","111.7","96.7","67.1"
"Saturday, December 2, 2017","Michigan","+15.00","113.7","98.7","64.1"
"Saturday, December 2, 2017","UCLA","+14.73","113.1","98.4","74.4"
"Saturday, December 2, 2017","Clemson","+14.69","111.6","96.9","68.5"
"Saturday, December 2, 2017","Oklahoma St.","+14.18","110.6","96.5","70.9"
"Saturday, December 2, 2017","South Carolina","+14.17","106.7","92.5","70.6"
"Saturday, December 2, 2017","St. John's","+13.77","109.2","95.4","72.9"
"Saturday, December 2, 2017","Oregon","+13.62","111.1","97.5","71.8"
"Saturday, December 2, 2017","Rhode Island","+13.35","110.8","97.5","70.4"
"Saturday, December 2, 2017","Missouri","+12.73","111.5","98.8","67.1"
"Saturday, December 2, 2017","Syracuse","+12.71","109.6","96.9","66.4"
"Saturday, December 2, 2017","Northwestern","+12.68","110.5","97.8","68.3"
"Saturday, December 2, 2017","Utah","+12.11","109.4","97.3","70.7"
"Saturday, December 2, 2017","Marquette","+12.03","114.6","102.6","70.7"
"Saturday, December 2, 2017","Arizona St.","+11.95","117.0","105.1","72.2"
"Saturday, December 2, 2017","Iowa St.","+11.73","110.9","99.2","70.3"
"Saturday, December 2, 2017","Butler","+11.72","108.8","97.1","67.8"
"Saturday, December 2, 2017","Mississippi St.","+11.07","107.9","96.8","71.2"
"Saturday, December 2, 2017","Mississippi","+11.01","113.0","102.0","71.2"
"Saturday, December 2, 2017","San Diego St.","+10.76","106.7","95.9","73.1"
"Saturday, December 2, 2017","Vanderbilt","+10.74","108.5","97.8","68.3"
"Saturday, December 2, 2017","Boise St.","+10.70","107.2","96.5","69.2"
"Saturday, December 2, 2017","Houston","+10.55","111.3","100.7","69.6"
"Saturday, December 2, 2017","Vermont","+10.35","109.3","99.0","67.6"
"Saturday, December 2, 2017","Georgia","+9.17","105.8","96.6","69.2"
"Saturday, December 2, 2017","BYU","+8.96","109.1","100.2","70.9"
"Saturday, December 2, 2017","Iowa","+8.95","110.3","101.3","70.2"
"Saturday, December 2, 2017","St. Bonaventure","+8.87","108.6","99.8","69.1"
"Saturday, December 2, 2017","Georgetown","+8.75","107.9","99.2","70.1"
"Saturday, December 2, 2017","UT Arlington","+8.51","109.4","100.9","72.8"
"Saturday, December 2, 2017","Old Dominion","+8.37","105.3","96.9","64.2"
"Saturday, December 2, 2017","Georgia Tech","+8.25","102.4","94.2","65.9"
"Saturday, December 2, 2017","Ohio St.","+8.20","106.7","98.5","71.0"
"Saturday, December 2, 2017","UCF","+8.13","102.0","93.9","68.8"
"Saturday, December 2, 2017","Davidson","+8.02","109.8","101.8","69.2"
"Saturday, December 2, 2017","Connecticut","+7.90","105.5","97.6","69.2"
"Saturday, December 2, 2017","North Carolina St.","+7.89","108.9","101.0","72.1"
"Saturday, December 2, 2017","Indiana","+7.63","113.2","105.6","68.0"
"Saturday, December 2, 2017","Wake Forest","+7.47","112.7","105.2","68.7"
"Saturday, December 2, 2017","Valparaiso","+7.43","103.9","96.5","72.1"
"Saturday, December 2, 2017","Bucknell","+7.37","110.9","103.5","73.4"
"Saturday, December 2, 2017","Saint Joseph's","+7.37","108.6","101.3","70.4"
"Saturday, December 2, 2017","Fresno St.","+7.32","108.0","100.7","70.0"
"Saturday, December 2, 2017","VCU","+7.06","108.2","101.2","72.2"
"Saturday, December 2, 2017","Middle Tennessee","+7.02","105.4","98.4","69.5"
"Saturday, December 2, 2017","Colorado","+6.98","107.1","100.1","70.8"
"Saturday, December 2, 2017","Wyoming","+6.81","105.3","98.5","72.5"
"Saturday, December 2, 2017","New Mexico St.","+6.78","107.3","100.6","70.5"
"Saturday, December 2, 2017","Northern Iowa","+6.77","102.7","96.0","64.9"
"Saturday, December 2, 2017","LSU","+6.71","111.9","105.2","70.3"
"Saturday, December 2, 2017","Albany","+6.60","111.3","104.7","66.8"
"Saturday, December 2, 2017","Louisiana Tech","+6.42","106.2","99.8","70.9"
"Saturday, December 2, 2017","Stanford","+6.41","105.7","99.3","72.8"
"Saturday, December 2, 2017","UNLV","+6.40","105.5","99.1","74.5"
"Saturday, December 2, 2017","Mercer","+6.21","110.6","104.4","66.6"
"Saturday, December 2, 2017","Boston College","+6.21","107.6","101.4","70.2"
"Saturday, December 2, 2017","Oregon St.","+6.12","106.2","100.1","68.9"
"Saturday, December 2, 2017","Towson","+6.02","105.9","99.8","68.6"
"Saturday, December 2, 2017","Georgia Southern","+6.00","107.9","101.9","69.9"
"Saturday, December 2, 2017","South Dakota St.","+5.99","109.4","103.4","70.6"
"Saturday, December 2, 2017","College of Charleston","+5.92","103.8","97.8","68.0"
"Saturday, December 2, 2017","Loyola Chicago","+5.91","106.4","100.5","69.3"
"Saturday, December 2, 2017","Nebraska","+5.87","105.5","99.6","69.2"
"Saturday, December 2, 2017","Illinois","+5.74","104.1","98.3","73.7"
"Saturday, December 2, 2017","Missouri St.","+5.49","105.7","100.2","69.1"
"Saturday, December 2, 2017","Florida Gulf Coast","+5.43","107.7","102.3","71.4"
"Saturday, December 2, 2017","Northern Kentucky","+5.25","107.3","102.0","71.7"
"Saturday, December 2, 2017","UNC Asheville","+5.24","105.4","100.1","70.9"
"Saturday, December 2, 2017","Louisiana Lafayette","+5.05","107.4","102.3","74.7"
"Saturday, December 2, 2017","Yale","+4.95","106.9","102.0","71.5"
"Saturday, December 2, 2017","Rutgers","+4.73","101.5","96.7","67.5"
"Saturday, December 2, 2017","Belmont","+4.45","108.4","104.0","69.1"
"Saturday, December 2, 2017","Troy","+4.18","106.0","101.8","69.8"
"Saturday, December 2, 2017","Tulsa","+4.18","108.6","104.4","71.4"
"Saturday, December 2, 2017","Illinois St.","+4.11","102.9","98.8","70.4"
"Saturday, December 2, 2017","Dayton","+4.03","105.2","101.2","66.7"
"Saturday, December 2, 2017","South Dakota","+3.84","103.8","100.0","72.4"
"Saturday, December 2, 2017","Bradley","+3.83","100.0","96.1","68.3"
"Saturday, December 2, 2017","Oakland","+3.79","106.0","102.3","74.7"
"Saturday, December 2, 2017","Utah St.","+3.62","105.1","101.5","69.3"
"Saturday, December 2, 2017","Jacksonville St.","+3.54","105.7","102.1","66.5"
"Saturday, December 2, 2017","Georgia St.","+3.18","101.5","98.3","67.3"
"Saturday, December 2, 2017","Buffalo","+3.17","107.1","103.9","74.1"
"Saturday, December 2, 2017","Western Michigan","+3.07","105.4","102.3","69.8"
"Saturday, December 2, 2017","Murray St.","+2.96","108.0","105.0","70.5"
"Saturday, December 2, 2017","East Tennessee St.","+2.92","103.8","100.8","71.4"
"Saturday, December 2, 2017","DePaul","+2.69","104.3","101.6","69.8"
"Saturday, December 2, 2017","Western Kentucky","+2.57","104.8","102.2","70.5"
"Saturday, December 2, 2017","La Salle","+2.54","105.1","102.5","67.9"
"Saturday, December 2, 2017","Princeton","+2.47","105.1","102.6","65.4"
"Saturday, December 2, 2017","UAB","+2.45","105.9","103.5","68.5"
"Saturday, December 2, 2017","California","+2.37","103.6","101.2","71.9"
"Saturday, December 2, 2017","Tulane","+2.24","103.5","101.3","72.0"
"Saturday, December 2, 2017","Southern Illinois","+2.09","102.5","100.4","68.8"
"Saturday, December 2, 2017","Iona","+2.01","107.3","105.3","72.1"
"Saturday, December 2, 2017","Ball St.","+2.00","107.4","105.4","73.5"
"Saturday, December 2, 2017","Grand Canyon","+1.92","101.8","99.9","70.8"
"Saturday, December 2, 2017","Lipscomb","+1.80","103.4","101.6","75.7"
"Saturday, December 2, 2017","Washington","+1.73","106.8","105.1","73.1"
"Saturday, December 2, 2017","Penn","+1.58","102.5","101.0","69.7"
"Saturday, December 2, 2017","Stephen F. Austin","+1.46","100.5","99.1","71.2"
"Saturday, December 2, 2017","Monmouth","+1.35","101.4","100.1","71.9"
"Saturday, December 2, 2017","Pittsburgh","+1.30","104.7","103.4","67.4"
"Saturday, December 2, 2017","Hofstra","+1.19","108.4","107.3","67.7"
"Saturday, December 2, 2017","Elon","+1.15","106.1","105.0","69.8"
"Saturday, December 2, 2017","Eastern Michigan","+1.14","102.4","101.3","68.9"
"Saturday, December 2, 2017","UNC Greensboro","+1.02","105.1","104.1","68.3"
"Saturday, December 2, 2017","Milwaukee","+0.93","103.9","102.9","65.5"
"Saturday, December 2, 2017","Idaho","+0.92","103.5","102.6","69.2"
"Saturday, December 2, 2017","Furman","+0.90","105.0","104.1","71.1"
"Saturday, December 2, 2017","Evansville","+0.80","100.0","99.2","66.0"
"Saturday, December 2, 2017","San Francisco","+0.77","102.1","101.3","69.8"
"Saturday, December 2, 2017","San Diego","+0.74","100.8","100.1","67.2"
"Saturday, December 2, 2017","Memphis","+0.65","102.8","102.2","67.7"
"Saturday, December 2, 2017","Washington St.","+0.61","104.7","104.1","71.7"
"Saturday, December 2, 2017","Ohio","+0.60","103.6","103.0","71.7"
"Saturday, December 2, 2017","Army","+0.49","103.6","103.1","73.0"
"Saturday, December 2, 2017","Toledo","+0.48","107.3","106.9","69.5"
"Saturday, December 2, 2017","New Mexico","+0.25","102.6","102.4","72.9"
"Saturday, December 2, 2017","Fort Wayne","+0.16","103.4","103.3","73.3"
"Saturday, December 2, 2017","Montana","+0.13","102.9","102.8","69.1"
"Saturday, December 2, 2017","Liberty","+0.10","103.3","103.2","65.6"
