"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Tuesday, February 20, 2018","Virginia","+32.17","115.0","82.8","59.1"
"Tuesday, February 20, 2018","Villanova","+30.88","128.9","98.0","68.9"
"Tuesday, February 20, 2018","Duke","+28.45","126.5","98.1","70.6"
"Tuesday, February 20, 2018","Michigan St.","+27.53","120.8","93.2","67.7"
"Tuesday, February 20, 2018","Cincinnati","+27.49","113.9","86.4","65.8"
"Tuesday, February 20, 2018","Purdue","+27.40","121.9","94.5","67.6"
"Tuesday, February 20, 2018","North Carolina","+24.08","121.6","97.5","71.5"
"Tuesday, February 20, 2018","Texas Tech","+23.99","112.5","88.5","67.6"
"Tuesday, February 20, 2018","Gonzaga","+23.52","119.5","96.0","69.3"
"Tuesday, February 20, 2018","Auburn","+22.73","120.5","97.7","72.6"
"Tuesday, February 20, 2018","Kansas","+22.63","120.1","97.5","69.0"
"Tuesday, February 20, 2018","Xavier","+21.24","121.6","100.3","70.8"
"Tuesday, February 20, 2018","West Virginia","+21.13","118.5","97.4","69.8"
"Tuesday, February 20, 2018","Wichita St.","+20.82","121.4","100.5","69.3"
"Tuesday, February 20, 2018","Tennessee","+20.81","115.0","94.1","66.9"
"Tuesday, February 20, 2018","Clemson","+20.45","113.9","93.4","66.0"
"Tuesday, February 20, 2018","Ohio St.","+20.37","115.8","95.4","67.2"
"Tuesday, February 20, 2018","Nevada","+19.97","120.5","100.6","69.9"
"Tuesday, February 20, 2018","Houston","+19.46","114.9","95.4","68.3"
"Tuesday, February 20, 2018","Saint Mary's","+19.17","122.1","102.9","64.0"
"Tuesday, February 20, 2018","TCU","+18.64","122.3","103.6","68.9"
"Tuesday, February 20, 2018","Arizona","+18.59","120.5","101.9","68.2"
"Tuesday, February 20, 2018","Michigan","+18.51","114.6","96.1","64.1"
"Tuesday, February 20, 2018","Butler","+18.35","116.6","98.2","68.2"
"Tuesday, February 20, 2018","Penn St.","+18.08","114.1","96.0","68.2"
"Tuesday, February 20, 2018","Texas A&M","+17.73","111.5","93.7","68.5"
"Tuesday, February 20, 2018","Creighton","+17.63","117.9","100.2","71.3"
"Tuesday, February 20, 2018","Florida St.","+17.55","117.5","100.0","71.9"
"Tuesday, February 20, 2018","Rhode Island","+17.27","114.7","97.5","69.0"
"Tuesday, February 20, 2018","Baylor","+17.25","112.8","95.6","66.1"
"Tuesday, February 20, 2018","Kentucky","+17.02","113.4","96.4","69.4"
"Tuesday, February 20, 2018","Florida","+16.92","115.1","98.2","67.8"
"Tuesday, February 20, 2018","Notre Dame","+16.80","116.8","100.0","65.0"
"Tuesday, February 20, 2018","Arizona St.","+16.69","118.4","101.7","71.7"
"Tuesday, February 20, 2018","Virginia Tech","+16.68","117.3","100.7","69.6"
"Tuesday, February 20, 2018","Louisville","+16.63","113.3","96.7","70.5"
"Tuesday, February 20, 2018","Missouri","+16.56","114.4","97.8","65.7"
"Tuesday, February 20, 2018","Maryland","+16.47","115.8","99.3","66.6"
"Tuesday, February 20, 2018","Arkansas","+16.37","117.2","100.8","70.8"
"Tuesday, February 20, 2018","Seton Hall","+16.06","115.9","99.9","70.2"
"Tuesday, February 20, 2018","Texas","+15.90","109.0","93.1","65.9"
"Tuesday, February 20, 2018","Miami FL","+15.89","112.8","96.9","67.6"
"Tuesday, February 20, 2018","Alabama","+15.58","109.8","94.2","69.4"
"Tuesday, February 20, 2018","Oklahoma","+15.37","118.0","102.6","75.9"
"Tuesday, February 20, 2018","Syracuse","+14.58","108.8","94.2","64.0"
"Tuesday, February 20, 2018","Middle Tennessee","+14.40","111.6","97.2","66.8"
"Tuesday, February 20, 2018","Kansas St.","+14.31","115.0","100.6","65.6"
"Tuesday, February 20, 2018","Marquette","+14.27","120.0","105.8","69.8"
"Tuesday, February 20, 2018","North Carolina St.","+13.94","116.1","102.2","71.7"
"Tuesday, February 20, 2018","Loyola Chicago","+13.88","112.8","98.9","66.0"
"Tuesday, February 20, 2018","UCLA","+13.80","116.5","102.7","70.8"
"Tuesday, February 20, 2018","USC","+13.71","116.3","102.6","68.4"
"Tuesday, February 20, 2018","New Mexico St.","+13.58","108.3","94.7","68.1"
"Tuesday, February 20, 2018","Mississippi St.","+13.39","110.5","97.1","67.7"
"Tuesday, February 20, 2018","Louisiana Lafayette","+13.29","116.0","102.7","71.1"
"Tuesday, February 20, 2018","Nebraska","+13.14","112.0","98.9","67.5"
"Tuesday, February 20, 2018","Old Dominion","+13.06","110.9","97.8","64.5"
"Tuesday, February 20, 2018","Boise St.","+13.01","110.3","97.3","68.3"
"Tuesday, February 20, 2018","Davidson","+12.90","116.6","103.7","65.3"
"Tuesday, February 20, 2018","Utah","+12.81","112.8","100.0","66.2"
"Tuesday, February 20, 2018","Western Kentucky","+12.36","113.9","101.5","69.3"
"Tuesday, February 20, 2018","St. Bonaventure","+12.09","112.8","100.7","69.7"
