"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Monday, January 8, 2018","Villanova","+29.73","125.3","95.6","70.1"
"Monday, January 8, 2018","Michigan St.","+29.28","118.5","89.2","67.4"
"Monday, January 8, 2018","Virginia","+28.93","113.3","84.4","60.5"
"Monday, January 8, 2018","Texas Tech","+27.52","115.1","87.6","69.2"
"Monday, January 8, 2018","Purdue","+27.51","118.2","90.7","69.9"
"Monday, January 8, 2018","Duke","+25.35","125.6","100.3","72.8"
"Monday, January 8, 2018","Kansas","+24.55","119.4","94.8","71.3"
"Monday, January 8, 2018","Cincinnati","+24.46","111.3","86.8","67.1"
"Monday, January 8, 2018","Gonzaga","+24.32","118.5","94.1","70.6"
"Monday, January 8, 2018","West Virginia","+23.19","115.4","92.2","74.0"
"Monday, January 8, 2018","Wichita St.","+22.95","116.9","94.0","69.6"
"Monday, January 8, 2018","North Carolina","+22.11","114.5","92.3","74.3"
"Monday, January 8, 2018","Oklahoma","+21.04","117.9","96.9","78.1"
"Monday, January 8, 2018","Notre Dame","+20.59","116.2","95.6","67.1"
"Monday, January 8, 2018","Clemson","+20.51","111.9","91.4","67.6"
"Monday, January 8, 2018","Tennessee","+20.18","112.9","92.8","69.5"
"Monday, January 8, 2018","Arizona","+20.18","119.1","99.0","69.4"
"Monday, January 8, 2018","Seton Hall","+20.03","116.5","96.5","71.5"
"Monday, January 8, 2018","Creighton","+20.02","115.7","95.7","74.4"
"Monday, January 8, 2018","Arizona St.","+20.02","120.7","100.7","72.5"
"Monday, January 8, 2018","Xavier","+19.98","117.8","97.8","72.9"
"Monday, January 8, 2018","Kentucky","+19.32","112.8","93.4","70.5"
"Monday, January 8, 2018","TCU","+18.90","118.1","99.2","70.8"
"Monday, January 8, 2018","Florida St.","+18.87","113.2","94.3","73.6"
"Monday, January 8, 2018","Miami FL","+18.62","108.0","89.4","69.5"
"Monday, January 8, 2018","Texas A&M","+18.61","108.7","90.1","69.6"
"Monday, January 8, 2018","Saint Mary's","+18.53","121.3","102.7","64.1"
"Monday, January 8, 2018","Auburn","+18.53","116.1","97.6","74.0"
"Monday, January 8, 2018","Arkansas","+18.45","116.9","98.5","73.4"
"Monday, January 8, 2018","Florida","+18.30","115.8","97.5","69.9"
"Monday, January 8, 2018","Nevada","+18.09","117.9","99.8","70.0"
"Monday, January 8, 2018","Michigan","+18.00","112.3","94.3","64.3"
"Monday, January 8, 2018","Ohio St.","+17.89","113.2","95.3","69.9"
"Monday, January 8, 2018","SMU","+17.35","112.7","95.3","66.5"
"Monday, January 8, 2018","Maryland","+17.03","113.4","96.4","67.9"
"Monday, January 8, 2018","Baylor","+16.80","112.4","95.6","65.9"
"Monday, January 8, 2018","Texas","+16.51","104.9","88.4","68.0"
"Monday, January 8, 2018","Butler","+15.72","113.7","98.0","69.2"
"Monday, January 8, 2018","Rhode Island","+15.64","110.3","94.6","70.7"
"Monday, January 8, 2018","Louisville","+15.59","108.4","92.8","71.0"
"Monday, January 8, 2018","Penn St.","+15.42","108.7","93.3","71.4"
"Monday, January 8, 2018","Houston","+15.15","113.4","98.2","70.1"
"Monday, January 8, 2018","Kansas St.","+14.66","113.7","99.1","66.1"
"Monday, January 8, 2018","Missouri","+14.65","115.8","101.2","66.4"
"Monday, January 8, 2018","Marquette","+14.27","117.8","103.5","71.0"
"Monday, January 8, 2018","UCLA","+13.92","114.1","100.1","73.4"
"Monday, January 8, 2018","USC","+13.89","115.9","102.0","70.4"
"Monday, January 8, 2018","Minnesota","+13.74","111.8","98.1","72.2"
"Monday, January 8, 2018","Virginia Tech","+13.70","112.8","99.1","72.5"
"Monday, January 8, 2018","Syracuse","+13.70","105.9","92.2","64.2"
"Monday, January 8, 2018","Georgia","+12.88","107.2","94.3","67.4"
"Monday, January 8, 2018","San Diego St.","+12.83","107.4","94.6","71.3"
"Monday, January 8, 2018","Alabama","+12.81","108.2","95.4","71.8"
"Monday, January 8, 2018","Boise St.","+12.72","106.6","93.9","70.2"
"Monday, January 8, 2018","Oklahoma St.","+12.55","109.9","97.3","71.8"
"Monday, January 8, 2018","Utah","+11.87","110.1","98.3","68.9"
"Monday, January 8, 2018","Providence","+11.65","110.7","99.1","68.7"
"Monday, January 8, 2018","Western Kentucky","+11.38","111.7","100.3","70.7"
"Monday, January 8, 2018","St. Bonaventure","+11.19","108.4","97.3","70.9"
"Monday, January 8, 2018","BYU","+11.11","108.1","97.0","67.8"
"Monday, January 8, 2018","East Tennessee St.","+10.86","108.4","97.5","69.1"
"Monday, January 8, 2018","Missouri St.","+10.86","108.0","97.2","66.2"
"Monday, January 8, 2018","Middle Tennessee","+10.73","108.4","97.6","68.4"
"Monday, January 8, 2018","Oregon","+10.67","109.9","99.2","69.5"
"Monday, January 8, 2018","UCF","+10.64","98.7","88.1","66.8"
"Monday, January 8, 2018","Old Dominion","+10.45","106.8","96.4","65.3"
"Monday, January 8, 2018","Mississippi St.","+10.34","104.7","94.4","69.8"
"Monday, January 8, 2018","LSU","+10.31","114.2","103.9","69.8"
"Monday, January 8, 2018","New Mexico St.","+10.17","106.5","96.3","68.5"
"Monday, January 8, 2018","Northern Kentucky","+10.14","108.4","98.2","69.1"
"Monday, January 8, 2018","Northwestern","+10.02","110.1","100.1","66.6"
"Monday, January 8, 2018","St. John's","+10.02","106.4","96.3","71.5"
"Monday, January 8, 2018","Boston College","+10.02","108.8","98.8","69.8"
"Monday, January 8, 2018","South Carolina","+10.01","103.5","93.5","70.9"
"Monday, January 8, 2018","Wake Forest","+9.76","112.8","103.1","69.7"
"Monday, January 8, 2018","Vermont","+9.74","113.8","104.0","65.2"
"Monday, January 8, 2018","Wisconsin","+9.66","109.1","99.4","63.7"
"Monday, January 8, 2018","North Carolina St.","+9.48","111.6","102.1","72.5"
"Monday, January 8, 2018","Murray St.","+8.68","111.9","103.2","68.3"
"Monday, January 8, 2018","South Dakota St.","+8.66","114.0","105.4","70.6"
"Monday, January 8, 2018","Nebraska","+8.56","107.3","98.7","69.5"
"Monday, January 8, 2018","Louisiana Lafayette","+8.49","111.1","102.6","71.2"
"Monday, January 8, 2018","UNLV","+8.42","110.2","101.8","75.1"
"Monday, January 8, 2018","Vanderbilt","+8.36","108.1","99.7","67.6"
"Monday, January 8, 2018","Temple","+8.19","109.5","101.4","67.4"
"Monday, January 8, 2018","Mississippi","+7.97","110.8","102.8","70.6"
"Monday, January 8, 2018","Illinois","+7.78","104.3","96.6","72.9"
"Monday, January 8, 2018","Iowa","+7.77","110.3","102.6","72.0"
"Monday, January 8, 2018","Fresno St.","+7.70","109.9","102.2","67.8"
"Monday, January 8, 2018","South Dakota","+7.44","106.8","99.4","71.7"
"Monday, January 8, 2018","Indiana","+7.12","110.0","102.8","67.7"
"Monday, January 8, 2018","UAB","+6.99","110.5","103.5","66.9"
"Monday, January 8, 2018","Belmont","+6.85","109.0","102.1","67.7"
"Monday, January 8, 2018","VCU","+6.73","108.3","101.5","71.4"
"Monday, January 8, 2018","DePaul","+6.68","106.8","100.1","71.3"
"Monday, January 8, 2018","Buffalo","+6.62","110.0","103.4","74.5"
"Monday, January 8, 2018","Davidson","+6.45","110.3","103.9","67.9"
"Monday, January 8, 2018","Montana","+6.34","106.3","100.0","70.2"
"Monday, January 8, 2018","Loyola Chicago","+6.33","105.6","99.3","66.6"
"Monday, January 8, 2018","Georgetown","+6.19","106.2","100.0","72.4"
"Monday, January 8, 2018","Grand Canyon","+6.15","100.6","94.4","69.7"
"Monday, January 8, 2018","UT Arlington","+6.02","105.2","99.1","74.4"
"Monday, January 8, 2018","Furman","+6.00","106.3","100.3","69.7"
"Monday, January 8, 2018","Iowa St.","+5.82","108.7","102.9","70.5"
"Monday, January 8, 2018","San Diego","+5.80","101.8","96.0","68.9"
"Monday, January 8, 2018","Wyoming","+5.77","103.6","97.8","74.6"
"Monday, January 8, 2018","Bucknell","+5.66","110.9","105.3","73.7"
"Monday, January 8, 2018","Georgia Southern","+5.34","107.3","102.0","69.1"
"Monday, January 8, 2018","Washington","+5.32","106.8","101.5","71.5"
"Monday, January 8, 2018","Towson","+5.20","104.7","99.5","68.3"
"Monday, January 8, 2018","Mercer","+4.96","114.0","109.1","66.1"
"Monday, January 8, 2018","Colorado","+4.89","103.5","98.6","71.1"
"Monday, January 8, 2018","Oregon St.","+4.62","106.9","102.3","67.3"
"Monday, January 8, 2018","Georgia Tech","+4.61","102.5","97.9","65.9"
"Monday, January 8, 2018","Northeastern","+4.57","105.7","101.2","67.3"
"Monday, January 8, 2018","Utah Valley","+4.38","109.6","105.2","69.7"
"Monday, January 8, 2018","Stanford","+4.36","104.6","100.2","70.1"
"Monday, January 8, 2018","UNC Greensboro","+4.30","103.4","99.1","66.5"
"Monday, January 8, 2018","UC Santa Barbara","+4.23","109.7","105.5","69.5"
"Monday, January 8, 2018","Iona","+4.18","109.0","104.8","71.5"
"Monday, January 8, 2018","Tulsa","+4.14","106.6","102.5","68.5"
"Monday, January 8, 2018","Bradley","+4.08","99.4","95.3","68.3"
"Monday, January 8, 2018","Rutgers","+4.01","99.2","95.2","68.8"
"Monday, January 8, 2018","Lipscomb","+3.98","101.4","97.5","76.0"
"Monday, January 8, 2018","Tulane","+3.97","104.7","100.8","71.2"
"Monday, January 8, 2018","Rider","+3.91","109.3","105.4","73.9"
"Monday, January 8, 2018","Saint Joseph's","+3.72","105.7","102.0","72.3"
"Monday, January 8, 2018","College of Charleston","+3.56","104.9","101.3","67.0"
"Monday, January 8, 2018","Princeton","+3.55","107.8","104.2","65.5"
"Monday, January 8, 2018","Idaho","+3.40","103.4","100.0","67.8"
"Monday, January 8, 2018","Louisiana Tech","+3.37","108.0","104.6","68.8"
"Monday, January 8, 2018","Oakland","+3.34","109.6","106.3","74.6"
"Monday, January 8, 2018","Jacksonville St.","+3.22","104.4","101.1","67.3"
"Monday, January 8, 2018","La Salle","+3.21","105.1","101.9","68.9"
"Monday, January 8, 2018","Utah St.","+3.20","106.5","103.3","68.1"
"Monday, January 8, 2018","Stephen F. Austin","+3.19","101.8","98.6","72.1"
"Monday, January 8, 2018","Portland St.","+3.10","108.6","105.5","77.0"
"Monday, January 8, 2018","San Francisco","+3.09","101.1","98.0","68.3"
"Monday, January 8, 2018","Northern Iowa","+3.01","99.1","96.1","62.9"
"Monday, January 8, 2018","Florida Gulf Coast","+2.87","109.2","106.3","71.2"
"Monday, January 8, 2018","Dayton","+2.85","105.2","102.4","67.1"
"Monday, January 8, 2018","North Dakota St.","+2.79","104.1","101.3","67.6"
"Monday, January 8, 2018","William & Mary","+2.76","113.4","110.6","71.2"
"Monday, January 8, 2018","Ball St.","+2.72","106.5","103.8","70.8"
"Monday, January 8, 2018","Georgia St.","+2.46","103.5","101.0","67.6"
"Monday, January 8, 2018","Connecticut","+2.44","101.9","99.5","69.2"
"Monday, January 8, 2018","UC Davis","+2.42","101.1","98.7","66.7"
"Monday, January 8, 2018","Penn","+2.40","103.9","101.5","70.1"
"Monday, January 8, 2018","Evansville","+2.22","101.1","98.9","64.9"
"Monday, January 8, 2018","Southern Illinois","+2.16","103.8","101.6","69.3"
"Monday, January 8, 2018","Albany","+2.00","107.9","105.9","67.0"
"Monday, January 8, 2018","Radford","+1.73","104.8","103.1","65.9"
"Monday, January 8, 2018","Valparaiso","+1.53","100.7","99.2","71.8"
"Monday, January 8, 2018","New Mexico","+1.46","104.5","103.0","72.3"
"Monday, January 8, 2018","Illinois St.","+1.46","104.1","102.6","71.3"
"Monday, January 8, 2018","Toledo","+1.21","109.4","108.2","69.6"
"Monday, January 8, 2018","Liberty","+1.18","100.3","99.1","65.1"
"Monday, January 8, 2018","Drake","+1.08","107.4","106.3","67.6"
"Monday, January 8, 2018","Northern Colorado","+1.01","103.5","102.5","72.0"
"Monday, January 8, 2018","Fort Wayne","+1.01","104.1","103.1","74.4"
"Monday, January 8, 2018","Marshall","+0.83","107.5","106.7","77.2"
"Monday, January 8, 2018","Duquesne","+0.81","103.7","102.9","66.3"
"Monday, January 8, 2018","Monmouth","+0.76","102.8","102.0","70.7"
"Monday, January 8, 2018","Wofford","+0.75","108.7","107.9","66.5"
"Monday, January 8, 2018","Massachusetts","+0.53","103.7","103.1","67.3"
"Monday, January 8, 2018","Washington St.","+0.49","105.0","104.5","70.6"
"Monday, January 8, 2018","Wright St.","+0.42","96.6","96.2","70.0"
"Monday, January 8, 2018","Indiana St.","+0.38","100.3","99.9","70.8"
"Monday, January 8, 2018","Central Michigan","+0.02","103.1","103.1","67.7"
"Monday, January 8, 2018","Hofstra","-0.11","107.8","107.9","70.4"
"Monday, January 8, 2018","Ohio","-0.15","102.7","102.8","73.0"
"Monday, January 8, 2018","Elon","-0.28","105.5","105.8","68.0"
