"","date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"1","Monday, January 1, 2018","Villanova",29.86,124.4,94.5,70.1
"2","Monday, January 1, 2018","Michigan St.",29.34,117.5,88.1,67.8
"3","Monday, January 1, 2018","Purdue",26.76,119.2,92.4,69.9
"4","Monday, January 1, 2018","Duke",26.43,125.4,99,73.1
"5","Monday, January 1, 2018","Virginia",25.76,112.4,86.6,61.1
"6","Monday, January 1, 2018","Kansas",25.45,118.4,92.9,71.4
"7","Monday, January 1, 2018","Texas Tech",24.42,113.2,88.8,69.9
"8","Monday, January 1, 2018","Cincinnati",23.33,112.3,89,67.4
"9","Monday, January 1, 2018","Gonzaga",22.91,118.3,95.4,70.4
"10","Monday, January 1, 2018","North Carolina",22.1,114.5,92.5,75.8
"11","Monday, January 1, 2018","Texas A&M",22.07,110.7,88.6,69.9
"12","Monday, January 1, 2018","Wichita St.",22.04,116.7,94.7,69.9
"13","Monday, January 1, 2018","West Virginia",21.93,115.4,93.4,74.4
"14","Monday, January 1, 2018","Arizona",21.34,118.7,97.4,68.7
"15","Monday, January 1, 2018","Oklahoma",21.31,117.2,95.9,78.1
"16","Monday, January 1, 2018","Xavier",20.75,118.2,97.5,73.2
"17","Monday, January 1, 2018","Kentucky",20.49,113.5,93,71
"18","Monday, January 1, 2018","Arizona St.",20.39,120.6,100.2,73.4
"19","Monday, January 1, 2018","Miami FL",20.39,109.9,89.5,69
"20","Monday, January 1, 2018","Tennessee",20,111.9,91.9,69.6
"21","Monday, January 1, 2018","Clemson",19.96,112.4,92.4,67.4
"22","Monday, January 1, 2018","Arkansas",19.52,116.4,96.9,74.5
"23","Monday, January 1, 2018","Seton Hall",19.29,114.6,95.3,71.9
"24","Monday, January 1, 2018","SMU",19.04,113.2,94.2,66.8
"25","Monday, January 1, 2018","Saint Mary's",19.03,121.6,102.6,64.2
"26","Monday, January 1, 2018","TCU",18.92,117.4,98.5,71.6
"27","Monday, January 1, 2018","Florida St.",18.82,112.5,93.7,74.3
"28","Monday, January 1, 2018","Notre Dame",18.7,116.6,97.9,68
"29","Monday, January 1, 2018","Creighton",18.38,115.2,96.9,75.3
"30","Monday, January 1, 2018","Maryland",17.82,111.5,93.6,68.9
"31","Monday, January 1, 2018","Nevada",17.59,116.4,98.8,69.6
"32","Monday, January 1, 2018","Texas",17.12,106,88.8,68.3
"33","Monday, January 1, 2018","Michigan",17,111.3,94.4,64.5
"34","Monday, January 1, 2018","Baylor",16.53,112.7,96.2,65.4
"35","Monday, January 1, 2018","Florida",16.35,113.1,96.7,70.7
"36","Monday, January 1, 2018","Kansas St.",16.18,114.5,98.3,66.3
"37","Monday, January 1, 2018","Auburn",16.12,113.6,97.5,74.5
"38","Monday, January 1, 2018","Houston",15.93,113.9,97.9,70.5
"39","Monday, January 1, 2018","Butler",15.85,112.7,96.8,68.9
"40","Monday, January 1, 2018","Virginia Tech",15.35,113.4,98,72.3
"41","Monday, January 1, 2018","Penn St.",15.28,108.4,93.1,72
"42","Monday, January 1, 2018","Louisville",15.15,109.3,94.2,71
"43","Monday, January 1, 2018","Minnesota",14.89,112.5,97.6,72.5
"44","Monday, January 1, 2018","Alabama",14.85,109.8,94.9,72.3
"45","Monday, January 1, 2018","Syracuse",14.58,107.8,93.2,64.8
"46","Monday, January 1, 2018","USC",14.58,116.5,101.9,70.6
"47","Monday, January 1, 2018","Rhode Island",14.3,110.6,96.3,70.2
"48","Monday, January 1, 2018","Ohio St.",14.16,110.6,96.4,69.9
"49","Monday, January 1, 2018","UCLA",13.95,112,98.1,73.7
"50","Monday, January 1, 2018","Oklahoma St.",13.38,109.9,96.6,70.8
"51","Monday, January 1, 2018","Missouri",13.16,113.2,100.1,67
"52","Monday, January 1, 2018","Marquette",12.91,115.6,102.7,70.8
"53","Monday, January 1, 2018","Northwestern",12.82,111.9,99.1,67
"54","Monday, January 1, 2018","Utah",12.74,110,97.3,68.5
"55","Monday, January 1, 2018","St. Bonaventure",12.7,109.3,96.6,69.8
"56","Monday, January 1, 2018","Oregon",12.23,110.9,98.7,69.8
