"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Saturday, March 3, 2018","Virginia","+31.92","115.5","83.6","59.5"
"Saturday, March 3, 2018","Villanova","+30.36","126.6","96.2","69.1"
"Saturday, March 3, 2018","Duke","+28.99","123.9","95.0","70.6"
"Saturday, March 3, 2018","Cincinnati","+27.70","114.7","87.0","65.7"
"Saturday, March 3, 2018","Purdue","+27.12","123.4","96.3","67.8"
"Saturday, March 3, 2018","Michigan St.","+26.96","120.4","93.5","67.5"
"Saturday, March 3, 2018","Gonzaga","+23.88","120.1","96.2","69.4"
"Saturday, March 3, 2018","North Carolina","+23.75","122.7","99.0","71.7"
"Saturday, March 3, 2018","Kansas","+23.02","120.9","97.9","69.0"
"Saturday, March 3, 2018","Texas Tech","+22.30","113.9","91.6","67.2"
"Saturday, March 3, 2018","West Virginia","+22.28","119.3","97.1","69.8"
"Saturday, March 3, 2018","Auburn","+22.19","119.8","97.6","72.6"
"Saturday, March 3, 2018","Tennessee","+22.12","113.8","91.7","67.3"
"Saturday, March 3, 2018","Xavier","+21.54","122.1","100.5","71.1"
"Saturday, March 3, 2018","Michigan","+21.44","115.2","93.8","64.7"
"Saturday, March 3, 2018","Ohio St.","+20.81","116.2","95.3","66.9"
"Saturday, March 3, 2018","Wichita St.","+20.42","122.2","101.8","69.2"
"Saturday, March 3, 2018","Clemson","+20.42","113.3","92.9","66.1"
"Saturday, March 3, 2018","Nevada","+19.68","120.8","101.2","70.1"
"Saturday, March 3, 2018","Houston","+19.61","115.1","95.5","68.9"
"Saturday, March 3, 2018","TCU","+19.16","121.6","102.5","69.2"
"Saturday, March 3, 2018","Kentucky","+19.15","114.8","95.7","69.8"
"Saturday, March 3, 2018","Saint Mary's","+19.07","120.9","101.8","64.1"
"Saturday, March 3, 2018","Florida","+18.71","114.7","96.0","67.5"
"Saturday, March 3, 2018","Butler","+18.59","115.8","97.2","68.5"
"Saturday, March 3, 2018","Arizona","+18.38","120.1","101.7","68.1"
"Saturday, March 3, 2018","Creighton","+17.88","117.2","99.3","71.5"
"Saturday, March 3, 2018","Texas A&M","+17.16","111.6","94.4","69.3"
"Saturday, March 3, 2018","Seton Hall","+17.16","115.9","98.8","70.0"
"Saturday, March 3, 2018","Baylor","+17.15","111.8","94.7","66.5"
"Saturday, March 3, 2018","Penn St.","+17.11","113.1","96.0","68.2"
"Saturday, March 3, 2018","Notre Dame","+16.98","116.7","99.7","65.2"
"Saturday, March 3, 2018","Virginia Tech","+16.91","115.7","98.8","69.3"
"Saturday, March 3, 2018","Louisville","+16.86","112.7","95.8","70.8"
"Saturday, March 3, 2018","Miami FL","+16.38","114.1","97.8","67.8"
"Saturday, March 3, 2018","Arizona St.","+16.25","117.2","101.0","71.9"
"Saturday, March 3, 2018","Florida St.","+16.21","116.4","100.2","72.0"
"Saturday, March 3, 2018","Arkansas","+16.19","117.0","100.8","70.8"
"Saturday, March 3, 2018","Middle Tennessee","+15.95","112.2","96.3","66.9"
