date,teamname_name,teamname_AdjEM,teamname_AdjO,teamname_AdjD,teamname_AdjT
"Wednesday, November 15, 2017",Villanova,26.66,116.8,90.1,71.1
"Wednesday, November 15, 2017",Wichita St.,26,115.8,89.8,72.5
"Wednesday, November 15, 2017",Arizona,25.79,117.7,91.9,71.8
"Wednesday, November 15, 2017",Kansas,25.24,114.5,89.2,73.7
"Wednesday, November 15, 2017",Duke,25,118.9,93.9,73.7
"Wednesday, November 15, 2017",Kentucky,24.32,113.8,89.4,72.6
"Wednesday, November 15, 2017",Florida,23.51,112.9,89.4,74.3
"Wednesday, November 15, 2017",Virginia,23,110,87,65.5
"Wednesday, November 15, 2017",Texas A&M,22.97,112.1,89.1,71.6
"Wednesday, November 15, 2017",Cincinnati,22.48,112.5,90,70.9
"Wednesday, November 15, 2017",Michigan St.,22.21,114.4,92.1,72.7
"Wednesday, November 15, 2017",Purdue,21.66,114.9,93.3,73.1
"Wednesday, November 15, 2017",North Carolina,21.36,114.8,93.4,75.2
"Wednesday, November 15, 2017",USC,21.22,112.8,91.6,75.2
"Wednesday, November 15, 2017",West Virginia,20.88,111.3,90.4,75.4
"Wednesday, November 15, 2017",TCU,20.61,112.5,91.9,72.7
"Wednesday, November 15, 2017",Miami FL,20.06,111.3,91.3,69.6
"Wednesday, November 15, 2017",Baylor,19.92,112.3,92.4,69.3
"Wednesday, November 15, 2017",Notre Dame,19.89,115.1,95.2,70.2
"Wednesday, November 15, 2017",Louisville,19.74,111.3,91.5,72.4
"Wednesday, November 15, 2017",Xavier,19.55,114,94.5,72.7
"Wednesday, November 15, 2017",Gonzaga,19.34,111.6,92.3,74.2
"Wednesday, November 15, 2017",Alabama,19.11,109.7,90.6,71.8
"Wednesday, November 15, 2017",Wisconsin,18.91,110.2,91.3,69.6
"Wednesday, November 15, 2017",Oklahoma,18.49,110.2,91.8,75.2
"Wednesday, November 15, 2017",Saint Mary's,18.36,115.4,97.1,67.3
"Wednesday, November 15, 2017",SMU,18.21,112.7,94.5,68.7
"Wednesday, November 15, 2017",UCLA,18.12,112.9,94.8,74.2
"Wednesday, November 15, 2017",Seton Hall,17.72,111.4,93.7,71.8
"Wednesday, November 15, 2017",Minnesota,17.67,111,93.4,74.3
"Wednesday, November 15, 2017",Texas Tech,17.39,109.9,92.5,69.7
"Wednesday, November 15, 2017",Providence,17.24,110.8,93.5,71.8
"Wednesday, November 15, 2017",Northwestern,17.08,111.3,94.3,71.7
"Wednesday, November 15, 2017",Texas,16.84,108.6,91.8,72.9
"Wednesday, November 15, 2017",Kansas St.,16.57,108.8,92.2,71.1
"Wednesday, November 15, 2017",Maryland,16.29,109.6,93.4,72.5
"Wednesday, November 15, 2017",Arkansas,16.13,111.8,95.6,74.8
"Wednesday, November 15, 2017",Oregon,15.92,110.6,94.7,72.8
"Wednesday, November 15, 2017",Tennessee,15.81,109.8,94,73.1
"Wednesday, November 15, 2017",South Carolina,15.64,106.3,90.7,72.1
"Wednesday, November 15, 2017",Michigan,15.55,111.7,96.2,68.5
