"date","teamname_name","teamname_AdjEM","teamname_AdjO","teamname_AdjD","teamname_AdjT"
"Monday, November 20, 2017","Villanova","+27.21","117.5","90.3","70.7"
"Monday, November 20, 2017","Arizona","+26.30","118.3","92.0","71.5"
"Monday, November 20, 2017","Wichita St.","+26.03","116.3","90.2","72.0"
"Monday, November 20, 2017","Kansas","+25.95","115.4","89.4","73.4"
"Monday, November 20, 2017","Kentucky","+24.26","113.9","89.6","72.1"
"Monday, November 20, 2017","Duke","+24.11","118.6","94.4","73.0"
"Monday, November 20, 2017","Virginia","+23.45","111.6","88.2","64.1"
"Monday, November 20, 2017","Texas A&M","+22.93","112.9","90.0","70.9"
"Monday, November 20, 2017","Cincinnati","+22.63","113.0","90.4","70.5"
"Monday, November 20, 2017","Florida","+22.58","112.9","90.3","73.4"
"Monday, November 20, 2017","Purdue","+22.24","115.7","93.5","72.9"
"Monday, November 20, 2017","Michigan St.","+22.16","115.2","93.0","72.4"
"Monday, November 20, 2017","West Virginia","+21.76","112.5","90.7","75.1"
"Monday, November 20, 2017","USC","+21.44","114.5","93.0","74.2"
"Monday, November 20, 2017","North Carolina","+21.22","115.4","94.2","75.0"
"Monday, November 20, 2017","Xavier","+20.89","115.4","94.6","72.2"
"Monday, November 20, 2017","Texas Tech","+20.73","111.6","90.8","69.3"
"Monday, November 20, 2017","Notre Dame","+20.07","115.9","95.8","69.7"
"Monday, November 20, 2017","Miami FL","+20.01","111.8","91.7","69.3"
"Monday, November 20, 2017","TCU","+19.55","112.3","92.7","71.9"
"Monday, November 20, 2017","Oklahoma","+19.54","111.3","91.8","75.1"
"Monday, November 20, 2017","Gonzaga","+19.30","112.6","93.3","72.8"
"Monday, November 20, 2017","Baylor","+19.25","112.4","93.1","68.8"
"Monday, November 20, 2017","SMU","+19.22","112.9","93.7","67.5"
"Monday, November 20, 2017","Alabama","+19.18","110.5","91.4","71.3"
"Monday, November 20, 2017","Saint Mary's","+18.60","116.4","97.8","66.0"
"Monday, November 20, 2017","Louisville","+18.55","111.2","92.6","72.1"
"Monday, November 20, 2017","Seton Hall","+18.39","112.2","93.8","71.1"
"Monday, November 20, 2017","Minnesota","+18.29","112.7","94.4","73.8"
"Monday, November 20, 2017","Providence","+18.14","112.1","94.0","70.9"
"Monday, November 20, 2017","Wisconsin","+17.64","110.3","92.6","69.1"
"Monday, November 20, 2017","Texas","+17.25","108.5","91.3","72.6"
"Monday, November 20, 2017","Kansas St.","+16.99","109.0","92.0","70.5"
"Monday, November 20, 2017","Oregon","+16.91","111.8","94.9","72.6"
"Monday, November 20, 2017","Maryland","+16.33","110.2","93.9","71.9"
"Monday, November 20, 2017","UCLA","+16.06","112.8","96.7","74.3"
"Monday, November 20, 2017","Arkansas","+15.87","111.9","96.0","74.7"
"Monday, November 20, 2017","Tennessee","+15.74","110.2","94.4","72.7"
"Monday, November 20, 2017","Creighton","+15.71","113.3","97.6","74.9"
"Monday, November 20, 2017","South Carolina","+15.70","106.1","90.4","72.4"
"Monday, November 20, 2017","Oklahoma St.","+15.63","111.8","96.2","71.9"
"Monday, November 20, 2017","Michigan","+15.24","111.8","96.5","66.9"
"Monday, November 20, 2017","Florida St.","+15.08","109.4","94.3","75.2"
"Monday, November 20, 2017","Penn St.","+14.64","105.8","91.1","74.8"
"Monday, November 20, 2017","St. John's","+14.44","109.0","94.6","74.8"
"Monday, November 20, 2017","Clemson","+14.16","109.7","95.5","70.4"
"Monday, November 20, 2017","Temple","+14.06","109.3","95.3","71.4"
"Monday, November 20, 2017","Butler","+14.05","110.6","96.6","71.3"
"Monday, November 20, 2017","Utah","+13.75","109.1","95.4","72.1"
"Monday, November 20, 2017","Virginia Tech","+13.75","112.5","98.8","74.8"
"Monday, November 20, 2017","Auburn","+13.69","111.4","97.7","76.3"
"Monday, November 20, 2017","Northwestern","+13.46","111.2","97.8","71.2"
"Monday, November 20, 2017","Mississippi","+13.28","111.7","98.4","73.2"
"Monday, November 20, 2017","Vanderbilt","+13.28","109.6","96.3","69.8"
"Monday, November 20, 2017","Nevada","+12.95","110.9","97.9","73.7"
"Monday, November 20, 2017","Rhode Island","+12.89","109.2","96.3","71.4"
"Monday, November 20, 2017","Marquette","+12.70","111.9","99.2","72.6"
"Monday, November 20, 2017","Iowa","+12.62","110.6","97.9","73.2"
"Monday, November 20, 2017","Georgia Tech","+12.15","105.0","92.9","71.1"
"Monday, November 20, 2017","Mississippi St.","+12.11","107.2","95.1","74.0"
"Monday, November 20, 2017","Iowa St.","+11.47","110.3","98.8","72.1"
"Monday, November 20, 2017","Syracuse","+11.44","109.0","97.6","68.7"
"Monday, November 20, 2017","Houston","+10.61","110.4","99.8","70.0"
"Monday, November 20, 2017","UCF","+10.58","105.4","94.8","72.0"
"Monday, November 20, 2017","Saint Joseph's","+10.19","109.7","99.5","71.5"
"Monday, November 20, 2017","Connecticut","+10.11","106.3","96.2","70.4"
"Monday, November 20, 2017","Ohio St.","+9.83","107.2","97.4","72.8"
"Monday, November 20, 2017","Davidson","+9.70","109.2","99.5","72.7"
"Monday, November 20, 2017","Georgia","+9.58","104.2","94.6","72.1"
"Monday, November 20, 2017","Stanford","+9.49","105.9","96.4","72.9"
"Monday, November 20, 2017","Vermont","+9.44","107.5","98.0","69.3"
"Monday, November 20, 2017","Missouri","+9.05","105.8","96.8","70.2"
"Monday, November 20, 2017","Georgetown","+8.64","105.6","97.0","72.5"
