"","Date","TeamName","Role","Opponent","PTS","FGM","FGA","FG%","3PTM","3PTA","3PT%","FTM","FTA","FT%","ORB","DRB","REB","AST","TO","STL","BLK","PF"
"1","November 8, 2013","UNC Asheville","Away","Kentucky","57","22","57",".386","3","13",".231","10","21",".476","10","19","29","9","13","1","3","32"
"2","November 8, 2013","Kentucky","Home","UNC Asheville","89","28","59",".475","3","11",".273","30","48",".625","18","28","46","12","7","8","6","20"
"3","November 8, 2013","McNeese State","Away","Michigan State","56","20","73",".274","9","34",".265","7","11",".636","7","18","25","10","8","10","3","9"
"4","November 8, 2013","Michigan State","Home","McNeese State","98","42","81",".519","10","26",".385","4","5",".800","16","48","64","32","15","4","4","12"
"5","November 8, 2013","Davidson","Away","Duke","77","26","62",".419","3","21",".143","22","25",".880","13","17","30","4","10","2","0","23"
"6","November 8, 2013","Duke","Home","Davidson","111","38","54",".704","13","21",".619","22","32",".688","3","24","27","16","4","7","6","21"
"7","November 8, 2013","Louisiana-Monroe","Away","Kansas","63","21","49",".429","3","10",".300","18","29",".621","4","20","24","13","13","4","0","31"
"8","November 8, 2013","Kansas","Home","Louisiana-Monroe","80","23","43",".535","7","18",".389","27","43",".628","8","27","35","17","15","9","5","27"
"9","November 8, 2013","Cal Poly","Away","Arizona","62","20","54",".370","11","26",".423","11","13",".846","8","16","24","13","10","4","0","26"
"10","November 8, 2013","Arizona","Home","Cal Poly","73","24","42",".571","5","11",".455","20","36",".556","9","24","33","12","11","4","7","15"
"11","November 8, 2013","UMass-Lowell","Away","Michigan","42","14","49",".286","4","17",".235","10","12",".833","10","23","33","7","15","5","0","24"
"12","November 8, 2013","Michigan","Home","UMass-Lowell","69","20","53",".377","5","18",".278","24","32",".750","12","25","37","13","7","10","2","11"
"13","November 8, 2013","Cornell","Away","Syracuse","60","22","54",".407","10","32",".313","6","8",".750","6","15","21","13","16","4","3","16"
"14","November 8, 2013","Syracuse","Home","Cornell","82","30","56",".536","10","20",".500","12","18",".667","11","25","36","19","14","12","6","13"
"15","November 8, 2013","Mississippi Valley State","Away","Oklahoma State","62","18","54",".333","4","19",".211","22","38",".579","10","21","31","5","22","8","1","31"
"16","November 8, 2013","Oklahoma State","Home","Mississippi Valley State","117","38","62",".613","12","21",".571","29","41",".707","11","30","41","22","13","12","3","29"
"17","November 8, 2013","North Florida","Away","Florida","69","26","64",".406","9","24",".375","8","15",".533","12","23","35","14","17","6","2","24"
"18","November 8, 2013","Florida","Home","North Florida","77","24","54",".444","2","10",".200","27","32",".844","8","24","32","11","13","9","4","12"
"19","November 8, 2013","Oakland","Away","UNC","61","20","55",".364","8","25",".320","13","18",".722","6","15","21","13","14","10","0","19"
"20","November 8, 2013","UNC","Home","Oakland","84","33","55",".600","5","13",".385","13","20",".650","9","31","40","25","17","10","2","17"
"21","November 8, 2013","Illinois State","Away","VCU","58","20","63",".317","4","23",".174","14","21",".667","11","20","31","9","21","6","0","22"
"22","November 8, 2013","VCU","Home","Illinois State","96","36","65",".554","9","20",".450","15","26",".577","13","32","45","26","16","14","4","21"
"23","November 8, 2013","Southern","Away","Marquette","56","21","59",".356","8","23",".348","6","16",".375","10","25","35","14","17","5","2","34"
"24","November 8, 2013","Marquette","Home","Southern","63","13","36",".361","4","13",".308","33","53",".623","4","30","34","10","14","7","2","19"
"25","November 8, 2013","Maryland","Away","UConn","77","24","57",".421","8","19",".421","21","28",".750","11","17","28","15","13","5","0","17"
"26","November 8, 2013","UConn","Home","Maryland","78","30","58",".517","10","23",".435","8","13",".615","7","21","28","16","11","10","6","22"
"27","November 8, 2013","Oregon","Away","Georgetown","82","20","49",".408","6","22",".273","36","44",".818","12","22","34","15","12","9","2","28"
"28","November 8, 2013","Georgetown","Home","Oregon","75","27","59",".458","1","15",".067","20","30",".667","14","16","30","12","11","7","6","31"
"29","November 8, 2013","Wisconsin","Away","St. John's (NY)","86","25","54",".463","11","23",".478","25","30",".833","11","19","30","13","9","3","2","23"
"30","November 8, 2013","St. John's (NY)","Home","Wisconsin","75","28","58",".483","2","13",".154","17","23",".739","14","18","32","10","12","3","5","28"
"31","November 8, 2013","Miami (OH)","Away","Notre Dame","62","21","48",".438","6","22",".273","14","19",".737","7","21","28","15","12","3","1","12"
"32","November 8, 2013","Notre Dame","Home","Miami (OH)","74","26","52",".500","10","21",".476","12","15",".800","5","21","26","21","7","9","1","17"
"33","November 8, 2013","Drexel","Away","UCLA","67","24","63",".381","5","23",".217","14","20",".700","10","27","37","11","11","4","0","16"
"34","November 8, 2013","UCLA","Home","Drexel","72","29","63",".460","5","14",".357","9","13",".692","7","29","36","16","11","8","4","15"
"35","November 8, 2013","James Madison","Away","Virginia","41","15","48",".313","6","25",".240","5","6",".833","2","23","25","8","13","7","4","15"
"36","November 8, 2013","Virginia","Home","James Madison","61","25","60",".417","4","18",".222","7","14",".500","9","31","40","9","9","7","1","12"
"37","November 8, 2013","Colorado","Away","Baylor","60","22","66",".333","2","19",".105","14","22",".636","18","21","39","10","6","7","3","21"
"38","November 8, 2013","Baylor","Home","Colorado","72","24","54",".444","8","20",".400","16","23",".696","10","29","39","12","13","2","3","23"
"39","November 8, 2013","Alabama State","Away","Illinois","63","23","66",".348","9","21",".429","8","13",".615","9","18","27","8","7","8","3","20"
"40","November 8, 2013","Illinois","Home","Alabama State","80","27","61",".443","4","20",".200","22","30",".733","16","31","47","14","15","4","2","17"
"41","November 8, 2013","Albany (NY)","Away","Siena","74","21","52",".404","4","10",".400","28","36",".778","13","22","35","8","14","11","4","22"
"42","November 8, 2013","Siena","Home","Albany (NY)","62","23","62",".371","4","24",".167","12","23",".522","17","20","37","12","15","2","6","26"
"43","November 8, 2013","Albion","Away","Eastern Michigan","45","13","52",".250","3","16",".188","16","19",".842","12","19","31","6","14","4","4","18"
"44","November 8, 2013","Eastern Michigan","Home","Albion","77","30","59",".508","7","15",".467","10","18",".556","11","26","37","17","8","6","10","19"
"45","November 8, 2013","Alcorn State","Away","Creighton","61","21","58",".362","9","26",".346","10","15",".667","4","21","25","9","18","1","3","29"
"46","November 8, 2013","Creighton","Home","Alcorn State","107","35","63",".556","11","24",".458","26","36",".722","9","33","42","25","6","12","0","18"
"47","November 8, 2013","American","Away","George Mason","60","22","49",".449","9","28",".321","7","11",".636","6","17","23","12","15","8","5","22"
"48","November 8, 2013","George Mason","Home","American","63","20","47",".426","4","14",".286","19","31",".613","9","19","28","7","13","10","2","16"
"49","November 8, 2013","Appalachian State","Away","NC State","77","28","57",".491","6","19",".316","15","22",".682","8","18","26","11","14","8","5","22"
"50","November 8, 2013","NC State","Home","Appalachian State","98","39","63",".619","5","11",".455","15","22",".682","7","22","29","19","11","6","1","20"
"51","November 8, 2013","Arizona Christian","Away","Southern Utah","78","27","55",".491","5","17",".294","19","28",".679","9","23","32","14","19","5","2","22"
"52","November 8, 2013","Southern Utah","Home","Arizona Christian","85","29","64",".453","5","15",".333","22","26",".846","12","21","33","12","13","12","3","23"
"53","November 8, 2013","Army","Away","Air Force","68","23","68",".338","12","44",".273","10","13",".769","13","19","32","16","13","4","5","24"
"54","November 8, 2013","Air Force","Home","Army","79","26","49",".531","10","15",".667","17","26",".654","8","26","34","11","17","8","4","18"
"55","November 8, 2013","Ave Maria","Away","Florida Atlantic","51","18","51",".353","5","18",".278","10","24",".417","8","20","28","4","15","9","1","15"
"56","November 8, 2013","Florida Atlantic","Home","Ave Maria","86","30","64",".469","14","33",".424","12","21",".571","15","32","47","23","16","7","3","22"
"57","November 8, 2013","Belmont","Away","Lipscomb","87","24","49",".490","6","22",".273","33","52",".635","3","23","26","10","10","10","2","20"
"58","November 8, 2013","Lipscomb","Home","Belmont","83","31","59",".525","12","32",".375","9","19",".474","11","28","39","20","24","6","0","35"
"59","November 8, 2013","Bethesda","Away","Santa Clara","39","16","51",".314","4","12",".333","3","9",".333","10","19","29","8","19","3","1","20"
"60","November 8, 2013","Santa Clara","Home","Bethesda","84","26","53",".491","9","25",".360","23","28",".821","9","25","34","16","8","10","6","10"
"61","November 8, 2013","Boston College","Away","Providence","78","26","51",".510","6","15",".400","20","24",".833","1","17","18","11","17","3","1","27"
"62","November 8, 2013","Providence","Home","Boston College","82","24","56",".429","4","15",".267","30","36",".833","10","25","35","13","16","7","4","28"
"63","November 8, 2013","Bucknell","Away","Stanford","68","27","63",".429","6","21",".286","8","9",".889","6","23","29","14","6","2","0","16"
"64","November 8, 2013","Stanford","Home","Bucknell","72","26","54",".481","5","15",".333","15","21",".714","9","29","38","11","10","3","6","10"
"65","November 8, 2013","Buffalo","Away","Texas A&M","58","20","64",".313","7","23",".304","11","19",".579","9","27","36","13","14","3","3","17"
"66","November 8, 2013","Texas A&M","Home","Buffalo","82","32","67",".478","8","20",".400","10","19",".526","10","34","44","17","10","8","5","17"
"67","November 8, 2013","Cal State Bakersfield","Away","Washington State","56","20","48",".417","5","15",".333","11","28",".393","12","22","34","7","17","10","0","32"
"68","November 8, 2013","Washington State","Home","Cal State Bakersfield","62","15","48",".313","4","23",".174","28","43",".651","16","20","36","7","16","10","2","23"
"69","November 8, 2013","Caldwell","Away","Fairleigh Dickinson","71","22","56",".393","5","18",".278","22","33",".667","14","30","44","14","25","2","6","18"
"70","November 8, 2013","Fairleigh Dickinson","Home","Caldwell","89","33","72",".458","9","32",".281","14","21",".667","10","27","37","19","8","13","2","26"
"71","November 8, 2013","UC-Davis","Away","Portland","83","29","64",".453","10","24",".417","15","24",".625","11","22","33","13","15","4","2","31"
"72","November 8, 2013","Portland","Home","UC-Davis","100","32","63",".508","6","16",".375","30","37",".811","8","25","33","16","8","7","4","22"
"73","November 8, 2013","UC-Riverside","Away","San Diego State","41","16","52",".308","1","9",".111","8","23",".348","11","18","29","4","20","6","6","27"
"74","November 8, 2013","San Diego State","Home","UC-Riverside","77","23","55",".418","4","13",".308","27","37",".730","8","30","38","14","14","13","6","22"
"75","November 8, 2013","UC-Santa Cruz","Away","Sacramento State","43","15","51",".294","5","17",".294","8","22",".364","7","19","26","10","12","4","0","21"
"76","November 8, 2013","Sacramento State","Home","UC-Santa Cruz","73","26","46",".565","4","13",".308","17","29",".586","8","31","39","17","13","8","3","24"
"77","November 8, 2013","Chicago State","Away","Indiana","72","21","81",".259","8","36",".222","22","27",".815","14","17","31","9","9","12","6","36"
"78","November 8, 2013","Indiana","Home","Chicago State","100","27","59",".458","1","8",".125","45","55",".818","15","41","56","8","19","3","13","20"
"79","November 8, 2013","Citadel","Away","VMI","71","24","72",".333","6","21",".286","17","25",".680","19","29","48","12","20","8","3","19"
