"","GameDate","HomeTeamName","HomeTeamScore","AwayTeamName","AwayTeamScore"
"1","November 10, 2017","Eastern Michigan",92,"Spring Arbor",60
"2","November 10, 2017","Cincinnati",107,"Savannah State",77
"3","November 10, 2017","Middle Tennessee",104,"Trevecca Nazarene",52
"4","November 10, 2017","Stetson",98,"Webber",89
"5","November 10, 2017","Baylor",107,"Central Arkansas",66
"6","November 10, 2017","Jackson State",84,"Millsaps",46
"7","November 10, 2017","New Hampshire",95,"Wheelock",39
"8","November 10, 2017","Tulsa",67,"Lamar",74
"9","November 10, 2017","Citadel",109,"Oglethorpe",73
"10","November 10, 2017","Central Michigan",108,"Siena Heights",48
"11","November 10, 2017","Eastern Washington",82,"Walla Walla",61
"12","November 10, 2017","Penn State",86,"Campbell",75
"13","November 10, 2017","James Madison",80,"Bridgewater (VA)",50
"14","November 10, 2017","Alabama",82,"Memphis",70
"15","November 10, 2017","Mississippi State",96,"Alabama State",68
"16","November 10, 2017","North Texas",122,"Eureka",65
"17","November 10, 2017","Sacred Heart",64,"Holy Cross",69
"18","November 10, 2017","Seton Hall",90,"Fairleigh Dickinson",68
"19","November 10, 2017","Virginia Tech",111,"Detroit",79
"20","November 10, 2017","West Virginia",65,"Texas A&M",88
"21","November 10, 2017","Albany (NY)",69,"Iona",67
"22","November 10, 2017","Binghamton",76,"Morgan State",59
"23","November 10, 2017","Boston College",85,"Maine",65
"24","November 10, 2017","Boston University",59,"Northeastern",65
"25","November 10, 2017","Butler",82,"Kennesaw State",64
"26","November 10, 2017","Charlotte",116,"Methodist",76
"27","November 10, 2017","Clemson",85,"Western Carolina",57
"28","November 10, 2017","Coastal Carolina",102,"Piedmont",50
"29","November 10, 2017","College of Charleston",68,"Siena",60
"30","November 10, 2017","UConn",70,"Colgate",58
"31","November 10, 2017","Davidson",110,"Charleston Southern",62
"32","November 10, 2017","Dayton",78,"Ball State",77
"33","November 10, 2017","Delaware State",71,"Cairn",50
"34","November 10, 2017","Drexel",69,"Bowling Green State",78
"35","November 10, 2017","Duke",97,"Elon",68
"36","November 10, 2017","Florida International",70,"Florida Memorial",47
"37","November 10, 2017","Fordham",54,"Miami (OH)",55
"38","November 10, 2017","Furman",101,"Bob Jones University",48
"39","November 10, 2017","George Mason",67,"Lafayette",65
"40","November 10, 2017","George Washington",84,"Howard",75
"41","November 10, 2017","Georgia",79,"Bryant",54
"42","November 10, 2017","Georgia State",90,"Carver Bible",50
"43","November 10, 2017","Harvard",73,"MIT",64
"44","November 10, 2017","Hofstra",77,"Army",74
"45","November 10, 2017","Indiana",69,"Indiana State",90
"46","November 10, 2017","Kentucky",73,"Utah Valley",63
"47","November 10, 2017","Liberty",87,"Clarks Summit",42
"48","November 10, 2017","Lipscomb",98,"Emory",83
