GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/8/2010,Illinois,79,UC-Irvine,65
11/8/2010,Maryland,105,Seattle,76
11/8/2010,Pitt,83,Rhode Island,75
11/8/2010,Texas,83,Navy,52
11/10/2010,Illinois,84,Toledo,45
11/10/2010,Maryland,75,College of Charleston,74
11/10/2010,Pitt,97,UIC,54
11/10/2010,Texas,89,Louisiana Tech,58
11/12/2010,Akron,89,Millikin,41
11/12/2010,Alabama,76,Florida A&M,37
11/12/2010,Albany (NY),61,Cornell,65
11/12/2010,American,62,Saint Francis (PA),52
11/12/2010,Army,66,Vassar,49
11/12/2010,Auburn,69,UNC Asheville,70
11/12/2010,Baylor,87,Grambling,52
11/12/2010,Boston College,79,St. Francis (NY),49
11/12/2010,Bradley,66,Texas A&M-Kingsville,55
11/12/2010,BYU,83,Fresno State,56
11/12/2010,Cal State Fullerton,67,Central Michigan,70
11/12/2010,UCSB,65,Denver,49
11/12/2010,Canisius,80,St. Bonaventure,70
11/12/2010,UCF,115,West Florida,61
11/12/2010,Charlotte,70,Gardner-Webb,78
11/12/2010,Chicago State,79,Concordia (IL),75
11/12/2010,Clemson,87,Western Carolina,64
11/12/2010,Cleveland State,71,Bryant,57
11/12/2010,Coastal Carolina,112,Piedmont,52
11/12/2010,Colorado,88,Idaho State,80
11/12/2010,UConn,79,Stony Brook,52
11/12/2010,Creighton,71,Alabama State,57
11/12/2010,East Carolina,74,Erskine,46
11/12/2010,Eastern Illinois,55,South Dakota State,67
11/12/2010,Eastern Washington,60,San Jose State,67
11/12/2010,Florida,77,UNC Wilmington,60
11/12/2010,Florida Atlantic,70,UC-Davis,63
11/12/2010,Florida International,89,Florida Memorial,73
11/12/2010,Florida State,75,North Florida,55
11/12/2010,Fordham,65,Brown,69
11/12/2010,Furman,72,North Greenville,54
11/12/2010,Georgia,72,Mississippi Valley State,70
11/12/2010,Georgia Tech,52,Charleston Southern,39
11/12/2010,Gonzaga,117,Southern,72
11/12/2010,Hawaii,77,Montana State,59
11/12/2010,Houston,63,Nicholls State,62
11/12/2010,Howard,54,Bowling Green State,52
11/12/2010,Indiana,88,Florida Gulf Coast,60
11/12/2010,Iona,72,Kent State,73
11/12/2010,Iowa State,78,Northern Arizona,64
11/12/2010,Kansas,113,Longwood,75
11/12/2010,Kansas State,75,James Madison,61
11/12/2010,Kennesaw State,82,Georgia Southwestern,62
11/12/2010,Kentucky,88,ETSU,65
11/12/2010,La Salle,82,Columbia,71
11/12/2010,Lamar,115,Lyon,57
11/12/2010,Liberty,82,Virginia Intermont,65
